galaxy,model,N_best,chi2red
UGC02916,nfw,1,5.169
UGC00128,nfw,1,2.523
UGC05005,nfw,1,0.346
UGC05253,nfw,1,6.082
UGC02885,nfw,3,1.004
UGC06923,nfw,1,1.496
UGC06818,nfw,2,5.522
UGC06787,nfw,3,28.064
UGC05986,nfw,2,6.989
UGC06399,nfw,1,0.943
UGC03580,nfw,2,6.519
UGC06446,nfw,1,0.215
UGC04499,nfw,1,1.085
NGC6946,nfw,1,1.953
UGC07690,nfw,1,0.337
UGC06614,nfw,1,1.305
UGC06667,nfw,1,1.763
UGC05716,nfw,1,1.284
UGC06983,nfw,1,0.597
NGC7814,nfw,1,0.971
UGC03546,nfw,1,1.92
UGC07261,nfw,1,0.049
UGC09037,nfw,2,1.352
UGC06786,nfw,1,0.952
UGC08699,nfw,2,0.478
UGC08490,nfw,1,0.112
UGC07603,nfw,1,1.696
UGC07151,nfw,1,2.928
UGC07524,nfw,1,0.859
UGC06930,nfw,1,0.277
UGC11914,nfw,3,1.604
UGCA444,nfw,2,0.068
UGCA442,nfw,2,3.03
UGC08286,nfw,1,2.452
UGC07399,nfw,1,1.014
UGC10310,nfw,1,0.574
UGC07125,nfw,1,0.854
D631-7,einasto,3,1.823
DDO168,einasto,3,13.337
UGC08550,nfw,1,0.769
UGC09133,nfw,1,8.51
UGC06917,nfw,1,0.82
DDO170,einasto,1,2.846
F571-V1,einasto,1,0.689
UGC11455,nfw,1,1.705
UGC12506,nfw,1,0.169
KK98-251,einasto,3,0.744
IC2574,einasto,3,1.046
UGC12632,nfw,1,0.344
DDO064,einasto,2,0.506
ESO563-G021,einasto,1,15.414
DDO154,einasto,2,5.953
F583-1,einasto,2,1.605
F568-V1,einasto,1,0.3
DDO161,einasto,2,0.964
NGC0100,einasto,2,0.542
NGC0055,einasto,2,2.42
F571-8,einasto,2,4.52
NGC0024,einasto,1,1.06
F574-1,einasto,2,2.036
NGC2976,einasto,3,0.494
ESO079-G014,einasto,2,4.109
NGC0801,einasto,3,0.245
NGC2841,einasto,3,1.462
IC4202,einasto,1,5.211
ESO116-G012,einasto,2,2.569
NGC2683,einasto,1,0.989
NGC0891,einasto,2,4.568
NGC3109,einasto,3,0.832
NGC1003,einasto,2,2.362
NGC3949,einasto,2,0.837
NGC3877,einasto,1,0.895
NGC3521,einasto,2,0.285
NGC2998,einasto,2,1.061
NGC2915,einasto,1,0.594
NGC3953,einasto,1,0.319
NGC1090,einasto,1,2.337
NGC0300,einasto,2,0.697
NGC3893,einasto,1,1.316
NGC4051,einasto,1,0.849
NGC2903,einasto,1,7.016
NGC4010,einasto,2,2.576
NGC3972,einasto,2,1.28
NGC3726,einasto,2,2.518
NGC4088,einasto,2,1.797
NGC4138,einasto,1,1.042
NGC0247,einasto,2,1.669
NGC3769,einasto,1,1.08
