galaxy,T,n_pts,rmax,N_best,chi2red_best,bic_best,chi2red_burk,bic_burk,dBIC,a_max,a_max_gt_rmax,tier_a
NGC6503,6,31,23.5,2,1.48,53.69,2.547,80.73,27.04,24.8,True,3.36;24.80
NGC6674,3,15,72.41,3,1.676,31.33,21.345,282.91,251.57,317.57,True,2.67;10.04;317.57
NGC6946,6,55,20.4,1,1.193,71.24,1.193,71.24,0.0,6.34,False,6.34
NGC7331,3,28,36.31,1,0.47,18.88,0.47,18.88,0.0,23.28,False,23.28
NGC7814,2,16,19.53,1,0.72,15.63,0.72,15.63,0.0,6.21,False,6.21
UGC00128,8,22,53.75,2,2.585,58.9,7.203,150.25,91.35,20.94,False,3.96;20.94
UGC00731,10,12,10.91,2,0.084,10.61,0.572,10.69,0.08,3.98,False,1.06;3.98
UGC01281,8,25,4.99,1,,,,,,1.6,False,1.60
UGC02259,8,8,8.14,2,0.32,9.6,2.378,18.43,8.83,34.05,True,1.08;34.05
UGC02487,0,17,80.38,1,4.326,70.56,4.326,70.56,0.0,8.71,False,8.71
UGC02885,5,19,74.07,3,0.863,28.89,4.437,81.31,52.43,102.66,True,0.47;14.88;102.66
UGC02916,2,32,38.0,1,3.022,97.6,3.022,97.6,0.0,9.55,False,9.55
UGC02953,2,106,62.39,2,4.016,428.32,10.797,1132.23,703.91,70.18,True,5.05;70.18
UGC03205,2,46,40.04,2,1.553,80.54,7.587,341.5,260.96,29.0,False,1.78;29.00
UGC03546,1,15,29.23,1,1.203,21.06,1.203,21.06,0.0,7.87,False,7.87
UGC03580,1,25,27.06,1,2.832,71.57,2.832,71.57,0.0,10.15,False,10.15
UGC04278,7,25,6.69,2,0.379,20.83,0.648,21.34,0.51,10.31,True,0.48;10.31
UGC04325,9,8,5.59,1,0.412,6.63,0.412,6.63,0.0,1.36,False,1.36
UGC04499,8,9,8.18,1,0.243,6.1,0.243,6.1,0.0,3.01,False,3.01
UGC05005,10,11,28.61,1,0.014,4.92,0.014,4.92,0.0,10.48,False,10.48
UGC05253,2,73,53.29,2,1.203,100.13,1.412,108.82,8.68,9.56,False,0.30;9.56
UGC05716,9,12,12.37,2,0.935,17.42,2.557,30.54,13.12,4.19,False,0.30;4.19
UGC05721,7,23,6.74,1,0.394,14.55,0.394,14.55,0.0,1.03,False,1.03
UGC05986,9,15,9.41,1,0.88,16.85,0.88,16.85,0.0,3.26,False,3.26
UGC06399,9,9,7.85,1,0.047,4.72,0.047,4.72,0.0,3.48,False,3.48
UGC06446,7,17,10.22,1,0.45,12.41,0.45,12.41,0.0,1.96,False,1.96
UGC06614,1,12,64.59,1,0.132,6.29,0.132,6.29,0.0,26.66,False,26.66
UGC06667,6,9,7.85,1,0.095,5.06,0.095,5.06,0.0,3.08,False,3.08
UGC06786,0,45,34.05,2,0.774,46.97,3.399,153.79,106.82,11.06,False,2.07;11.06
UGC06787,2,55,37.19,2,21.854,1130.58,33.734,1795.9,665.32,145.02,True,4.59;145.02
UGC06818,9,8,6.98,1,1.328,12.12,1.328,12.12,0.0,10.47,True,10.47
UGC06917,9,11,10.47,1,0.197,6.57,0.197,6.57,0.0,3.68,False,3.68
UGC06923,10,6,5.16,1,0.492,5.55,0.492,5.55,0.0,3.19,False,3.19
UGC06930,7,10,16.61,1,0.179,6.04,0.179,6.04,0.0,3.77,False,3.77
UGC06983,6,17,15.68,1,0.424,12.02,0.424,12.02,0.0,3.2,False,3.20
UGC07125,9,13,18.68,1,0.248,7.86,0.248,7.86,0.0,4.81,False,4.81
UGC07151,6,11,5.5,1,0.912,13.0,0.912,13.0,0.0,1.6,False,1.60
UGC07261,8,7,6.67,1,0.381,5.8,0.381,5.8,0.0,1.54,False,1.54
UGC07399,8,10,6.13,2,0.117,9.91,0.917,11.94,2.03,37.16,True,1.18;37.16
UGC07524,9,31,10.69,1,0.237,13.73,0.237,13.73,0.0,3.55,False,3.55
UGC07603,7,12,4.11,1,0.204,7.01,0.204,7.01,0.0,1.54,False,1.54
UGC07690,10,7,4.13,1,0.111,4.45,0.111,4.45,0.0,0.7,False,0.70
UGC08286,6,17,8.04,2,0.664,19.97,1.253,24.45,4.49,45.03,True,1.42;45.03
UGC08490,9,30,10.15,2,0.144,17.34,0.663,25.37,8.03,3.02,False,0.63;3.02
UGC08550,7,11,5.36,2,0.442,12.68,0.948,13.33,0.65,4.56,False,0.86;4.56
UGC08699,2,37,25.7,2,0.54,32.26,3.202,119.3,87.04,17.0,False,1.95;17.00
UGC09037,6,19,27.96,1,0.503,14.45,0.503,14.45,0.0,20.27,False,20.27
UGC09133,2,64,108.31,2,6.101,382.72,10.836,680.17,297.44,66.22,False,8.55;66.22
UGC10310,9,7,7.74,1,0.094,4.36,0.094,4.36,0.0,2.14,False,2.14
UGC11455,6,33,41.93,2,1.619,60.93,1.837,63.96,3.03,297.69,True,9.41;297.69
UGC11914,2,63,9.83,3,0.538,55.52,8.211,509.13,453.61,59.13,True,0.50;1.87;59.13
UGC12506,6,31,49.99,2,0.108,16.64,0.724,27.87,11.23,9.7,False,1.01;9.70
UGC12632,9,15,10.66,1,0.066,6.27,0.066,6.27,0.0,2.86,False,2.86
UGCA442,9,8,6.33,1,0.615,7.85,0.615,7.85,0.0,2.83,False,2.83
UGCA444,10,36,2.62,1,0.218,14.58,0.218,14.58,0.0,1.27,False,1.27
