galaxy,group,rx,beam,n_ann,NC_all,NC_band,NC_inner,NC_outer,dsig_band,dsig_all
NGC2403,winner,2.2788544272136066,0.08272860654453124,17,0.08855855276572168,,0.19621017871324795,0.08225515933334394,,0.0
NGC2841,winner,60.1408004002001,0.3691371367968007,17,0.13125386651346924,0.1519339687827359,0.14034373368994138,0.11478419155775225,0.0,0.0
NGC3198,winner,,0.3612831551628263,17,0.09416721282850912,,,0.09416721282850912,,0.0
NGC3521,winner,4.1384342171085535,0.20158552860534507,17,0.15093630761458654,,0.121282526860399,0.15093630761458654,,0.0
NGC2903,control,,0.17278759594743862,17,0.09737371118418303,,,0.09737371118418303,,0.0
NGC5055,control,,0.25918139392115797,17,0.13967912816867586,,,0.13967912816867586,,0.0
NGC6946,control,,0.1445132620651305,17,0.7343681404700916,,,0.7343681404700916,,0.0
NGC7331,control,10.334852426213109,0.38484510006474965,17,0.11952904141543823,0.12120648649861862,0.13077985036260645,0.11469176090888325,0.0,0.0
