galaxy,n,N_best,bic1,bic2,margin,chi2gain,Galaxy,T,D,e_D,f_D,Inc,e_Inc,L36,e_L36,Reff,SBeff,Rdisk,SBdisk,MHI,RHI,Vflat,e_Vflat,Q,Ref,M_star,r_vir,M_halo,logM_star,logM_halo,logM_halo_per_star
UGC04325,8,1,6.6304705997040285,10.789356682005218,4.15888608230119,-2.9989415182285484e-06,UGC04325,9,9.6,2.88,1,41.0,3.0,2.026,0.035,2.79,41.0,1.86,213.22,0.678,6.61,90.9,2.7,1,"Sw09,Sw02",1013000000.0,103.626,199083902955.42108,9.00560944536028,11.299036146314435,2.293426700954157
UGC02916,32,1,97.18526116493689,104.11675103327765,6.931489868340762,-1.8062741318658482e-05,UGC02916,2,65.4,9.8,1,50.0,5.0,124.153,1.83,2.8,2425.66,6.15,520.99,23.273,34.24,182.7,6.9,2,"No07,No05",62076500000.0,208.27799999999996,1616442046594.79,10.792927222529496,12.208560138706147,1.4156329161766514
NGC7814,16,1,15.476508352417515,19.131551010339635,3.6550426579221202,1.8901347865574412,NGC7814,2,14.4,0.66,2,90.0,1.0,74.529,0.343,2.08,2709.13,2.54,2635.3,1.07,12.15,218.9,7.0,1,Fr11,37264500000.0,249.546,2780236760745.982,10.571295298417532,12.44408178135233,1.8727864829347975
UGC00731,12,2,10.671706591888318,10.607372155296693,-0.06433443659162563,5.0341477361676255,UGC00731,10,12.5,3.75,1,57.0,3.0,0.323,0.019,1.4,25.63,2.3,82.57,1.807,11.57,73.3,2.3,1,"Sw09,Sw02",161500000.0,83.56199999999998,104389404609.7221,8.208172526667122,11.01865642057192,2.810483893904797
UGC04278,25,1,21.33423270354927,23.648020572578105,2.313787869028836,4.123963780707562,UGC04278,7,9.51,2.85,1,90.0,3.0,1.307,0.026,2.46,34.11,2.21,377.42,1.116,8.9,91.4,4.8,1,"dB02,Sw02",653500000.0,104.196,202387219486.1088,8.815245591916563,11.306183083850028,2.4909374919334653
NGC6946,55,1,71.2350572323153,79.24483257681483,8.00977534449953,0.00489102596540647,NGC6946,6,5.52,1.66,2,38.0,2.0,66.173,0.122,4.2,571.26,2.44,2232.7,5.67,21.25,158.9,10.9,1,Bo08,33086500000.0,181.146,1063447827241.2118,10.519650828475031,12.026716188270672,1.5070653597956412
UGC00128,22,2,150.24451610522914,58.899392171093524,-91.34512393413561,97.52720884085225,UGC00128,8,64.5,9.7,1,57.0,10.0,12.02,0.565,9.63,20.36,5.95,88.89,7.431,31.27,129.3,2.8,1,"VB99,VH93",6010000000.0,147.402,572980802430.1835,9.77887447200274,11.758140071289716,1.9792655992869772
UGC05253,73,2,108.78934181509136,98.21969762326867,-10.56964419182269,19.150563074119475,UGC05253,2,22.9,5.72,1,37.0,4.0,171.582,0.79,4.28,1488.78,8.07,189.16,16.396,36.64,213.7,7.1,2,"No07,No05",85791000000.0,243.61799999999997,2586771474506.5576,10.933441730094035,12.412758063140744,1.4793163330467056
UGC03580,25,1,71.54327127821584,74.06942476931182,2.5261534910959824,3.911598158640423,UGC03580,1,20.7,5.2,1,63.0,4.0,13.266,0.195,1.84,614.94,2.43,302.57,4.37,19.97,126.2,3.2,2,"No07,No05",6633000000.0,143.868,532748899632.86847,9.821709997298376,11.726522561372882,1.904812564074506
UGC03546,15,1,21.056799822432012,26.472903117867716,5.416103295435704,-2.8932312847729236e-06,UGC03546,1,28.7,7.2,1,55.0,5.0,101.336,0.747,2.58,2403.42,3.79,922.21,2.675,18.37,196.9,7.4,1,"No07,No05",50668000000.0,224.466,2023399531322.4412,10.70473376187689,12.30608164506289,1.6013478831859995
UGC02885,19,2,81.1420732766367,39.51316838362269,-41.628904893014,47.51778285134688,UGC02885,5,80.6,8.06,1,64.0,4.0,403.525,4.088,12.2,421.53,11.4,470.79,40.075,74.24,289.5,12.0,1,"Sa96,RA85",201762500000.0,330.03,6431173125571.1,11.304840450521027,12.8082902008389,1.5034497503178716
NGC6503,31,2,80.72600555698077,53.705001722801796,-27.02100383417897,33.88897824314925,NGC6503,6,6.26,0.31,2,74.0,2.0,12.845,0.059,1.62,774.16,2.16,398.87,1.744,14.05,116.3,2.4,1,"Be91,Be87",6422500000.0,132.582,416949676133.6554,9.807704112938383,11.62008364083388,1.812379527895496
UGC05721,23,1,14.518917651057887,20.77648738058886,6.2575697295309745,0.013418702327323118,UGC05721,7,6.18,1.85,1,61.0,5.0,0.531,0.011,0.6,233.79,0.38,913.76,0.562,6.74,79.7,6.6,1,"dB02,Sw02",265500000.0,90.858,134189786166.18344,8.424064525417489,11.127719460836872,2.703654935419383
UGC06818,8,1,14.42908566338954,18.587968746749247,4.158883083359708,-3.375077994860476e-14,UGC06818,9,18.0,2.5,4,75.0,3.0,1.588,0.057,2.12,56.08,1.39,286.31,1.079,6.96,71.2,4.0,2,"VS01,SV98",794000000.0,81.16799999999999,95671917319.82304,8.899820502427096,10.980784477559103,2.0809639751320077
UGC05716,12,2,30.446789727796443,19.708754939994723,-10.73803478780172,15.707848087377721,UGC05716,9,21.3,5.3,1,54.0,10.0,0.588,0.042,1.84,27.59,1.14,90.54,1.094,10.64,73.1,1.2,2,vZ97,294000000.0,83.33399999999999,103537250428.39767,8.468347330412158,11.015096627522116,2.546749297109958
UGC05986,15,1,16.735909979306548,22.152013675207964,5.416103695901416,-3.2936969951435913e-06,UGC05986,9,8.63,2.59,1,90.0,3.0,4.695,0.048,3.12,76.71,1.67,1725.16,2.667,16.53,113.0,4.1,2,"Sw09,Sw02",2347500000.0,128.82,382454545665.9173,9.370605600938148,11.582579827098794,2.2119742261606454
NGC7331,28,1,18.878451593787737,23.850571020154227,4.97211942636649,1.6922895939839204,NGC7331,3,14.7,1.5,3,75.0,2.0,250.631,0.693,3.99,2470.76,5.02,1806.47,11.067,27.01,239.0,5.4,1,"Be91,Be87",125315500000.0,272.46,3618580174893.22,11.098004791250704,12.558538199492949,1.4605334082422434
UGC04499,9,1,6.097036265584863,10.491485469115172,4.39444920353031,-4.88578704160858e-08,UGC04499,8,12.5,3.75,1,50.0,3.0,1.552,0.043,2.69,33.79,1.73,127.3,1.1,8.67,72.8,2.4,1,"Sw09,Sw02",776000000.0,82.99199999999999,102267734335.2918,8.889861721258189,11.009738634587643,2.119876913329456
UGC06923,6,1,5.511639008273088,9.095157960711429,3.5835189524383413,-1.3982231594766859e-08,UGC06923,10,18.0,2.5,4,65.0,2.0,2.89,0.077,1.66,166.28,1.44,347.4,0.809,6.75,79.6,2.5,2,"VS01,SV98",1445000000.0,90.744,133685313814.98332,9.159867847092569,11.12608369986154,1.9662158527689737
