galaxy,in_off_dex,in_sig,out_off_dex,out_sig
NGC0289,0.35697315153305187,1.1892053697401848,-0.37599115646981573,-1.2525611529284084
NGC2403,0.17215231023834932,0.5735009786293912,0.04538934797286309,0.15120816819563207
NGC2998,0.9454872608001299,3.1497565649845454,0.027128258214538015,0.09037394045428612
NGC3741,-0.6450239470962202,-2.1488056964609337,-0.5289829637369827,-1.7622316364003983
NGC5585,-0.4575717065580296,-1.5243351723879066,-0.15838801454610607,-0.527647181844924
NGC6015,0.4686055116026129,1.5610927272665678,-0.25745817846839447,-0.8576853665416163
UGC00128,0.0006211679247494217,0.002069332745193819,-0.5973832453562338,-1.9900974628470764
UGC00731,-0.3608109580305694,-1.2019904771782972,-0.4278871983068875,-1.4254454478841114
UGC03205,0.7312603070984398,2.4360898855969113,-0.1579451334091484,-0.5261717862193291
UGC05253,0.15997931349820504,0.5329483683643332,0.32271507177843883,1.0750794411480418
UGC06786,0.47907956657601325,1.5959855542588195,0.20683294333498825,0.6890345836845422
UGC08490,0.16783729681284498,0.5591261240665947,-0.29225033402133427,-0.9735904928254929
UGC08550,-0.16618945531142515,-0.5536365740722787,-0.7286908276425272,-2.427530029615346
UGC08699,0.4355075353011628,1.4508315186121308,-0.1237300846411511,-0.41218920924937075
UGC09133,0.3337154367366466,1.111725595126911,-0.6748431647710316,-2.2481441862830565
UGC12506,0.8926669503907423,2.973793200511822,0.2877112259442498,0.9584690987488852
