galaxy,n,N_best,chi2_1,bic_1,chi2_2,bic_2,bic_margin,chi2_gain,Galaxy,T,D,e_D,f_D,Inc,e_Inc,L36,e_L36,Reff,SBeff,Rdisk,SBdisk,MHI,RHI,Vflat,e_Vflat,Q,Ref,M_star,r_vir,M_halo,logM_star,logM_halo,logM_halo_per_star
ESO079-G014,15,1,13.320245670235558,18.73634607243998,13.320250567906774,24.152451372315614,5.416105299875635,-4.89767121614193e-06,ESO079-G014,4,28.7,7.17,1,79.0,5.0,51.733,0.524,7.23,157.34,5.08,2295.25,3.14,17.67,175.0,3.5,1,Ge04,25866500000.0,199.49999999999997,1420556928649.9834,10.412737668240323,12.152458642707415,1.7397209744670938
NGC0055,21,1,9.206201193192012,15.295246068638857,9.206211136598164,21.384300887491854,6.089054818852997,-9.943406151791123e-06,NGC0055,9,2.11,0.11,2,77.0,3.0,4.628,0.013,3.67,54.55,6.11,391.59,1.565,10.24,85.6,5.0,2,"Sa96,Pu91",2314000000.0,97.584,166251583557.8982,9.364363354615731,11.220765790679994,1.856402436064263
NGC0300,25,1,13.417073404315715,19.854825054052117,8.268523389740894,21.144026689213696,1.2892016351615787,5.1485500145748215,NGC0300,7,2.08,0.1,2,42.0,10.0,2.922,0.008,1.77,147.51,1.75,437.35,0.936,9.2,93.3,7.0,2,"Sa96,CP90",1461000000.0,106.36199999999998,215272932979.29968,9.164650215934296,11.332989427888034,2.1683392119537377
NGC0247,26,2,93.00631419029364,99.5225072663366,16.743622780444703,29.77600893253063,-69.74649833380597,76.26269140984894,NGC0247,7,3.7,0.19,2,74.0,3.0,7.332,0.027,5.87,33.79,3.74,506.79,1.746,12.79,104.9,8.0,2,"Sa96,Ca90",3666000000.0,119.586,305964444701.23773,9.564192460626195,11.485670961229207,1.921478500603012
NGC2403,73,2,1351.2606381577557,1359.8415570400525,227.42633826377212,244.5881760283657,-1115.2533810116868,1123.8342998939836,NGC2403,6,3.16,0.16,2,63.0,3.0,10.041,0.028,2.16,341.06,1.39,1408.74,3.199,15.11,131.2,4.9,1,"Da06,Fr02",5020500000.0,149.56799999999998,598612803783.3854,9.70074697141346,11.77714600176746,2.0763990303540005
NGC0100,21,1,1.626134268249436,7.715179143696282,1.6151861713737592,13.793275922267451,6.078096778571169,0.010948096875676772,NGC0100,6,13.5,4.05,1,89.0,1.0,3.232,0.063,2.81,64.99,1.66,1193.52,1.99,16.36,88.1,6.4,1,"dB02,Rh96",1616000000.0,100.43399999999998,181247582195.3958,9.208441356438568,11.258272221884678,2.0498308654461095
NGC0801,11,2,129.79359017071275,134.58938071630948,1.8762998165982288,11.467880907791711,-123.12149980851777,127.91729035411451,NGC0801,5,80.7,8.07,1,80.0,1.0,312.57,3.455,7.76,818.14,8.72,1558.94,23.201,44.99,220.1,6.2,1,"Sa96,Br92",156285000000.0,250.91399999999996,2826211272763.2056,11.193917297086106,12.45120462430858,1.257287327222473
NGC1003,36,2,188.66743527746237,195.8344731543746,57.00904104817965,71.34311680200409,-124.4913563523705,131.65839422928272,NGC1003,6,11.4,3.42,1,67.0,5.0,6.82,0.075,2.76,140.87,1.61,1345.33,5.88,33.33,109.8,4.2,1,"Sa96,Br92",3410000000.0,125.17199999999998,350874265883.26654,9.532754378992498,11.545151516990751,2.0123971379982546
NGC2841,50,2,336.09772735054986,343.92177336140617,40.6755325353519,56.323624557064484,-287.5981488043417,295.42219481519794,NGC2841,3,14.1,1.4,3,76.0,10.0,188.121,0.52,5.51,983.63,3.64,4751.49,9.775,45.12,284.8,8.6,1,"Di08,Be91",94060500000.0,324.67199999999997,6123002708468.674,10.97340728300738,12.78696445154299,1.8135571685356116
NGC2915,28,1,9.805636732669678,16.470045753020084,9.199574115717672,22.528392156418487,6.058346403398403,0.6060626169520056,NGC2915,11,4.06,0.2,2,56.0,4.0,0.641,0.008,0.53,347.4,0.55,313.93,0.508,7.16,83.5,6.3,2,El10,320500000.0,95.19,154313500515.00732,8.505828033854836,11.18840392309934,2.6825758892445037
