galaxy,n,N_best,chi2_1,bic_1,chi2_2,bic_2,bic_margin,chi2_gain,Galaxy,T,D,e_D,f_D,Inc,e_Inc,L36,e_L36,Reff,SBeff,Rdisk,SBdisk,MHI,RHI,Vflat,e_Vflat,Q,Ref,M_star,r_vir,M_halo,logM_star,logM_halo,logM_halo_per_star
NGC6195,20,2,31.989780006659398,37.98124455376738,9.071860285811344,21.05478938002731,-16.926455173740074,22.917919720848055,NGC6195,3,127.8,12.8,1,62.0,5.0,391.076,6.123,9.52,686.8,13.94,174.11,20.907,40.89,251.7,9.3,1,SG06,195538000000.0,286.938,4226629143790.5,11.29123116882462,12.625994143293624,1.3347629744690028
NGC6946,55,1,63.220416075766984,71.23508244623193,63.21430669864293,79.24363943957282,8.008556993340889,0.006109377124055015,NGC6946,6,5.52,1.66,2,38.0,2.0,66.173,0.122,4.2,571.26,2.44,2232.7,5.67,21.25,158.9,10.9,1,Bo08,33086500000.0,181.146,1063447827241.2118,10.519650828475031,12.026716188270672,1.5070653597956412
NGC7331,28,1,12.214361930813403,18.878770951163812,10.470460650609075,23.79927869130989,4.920507740146078,1.7439012802043283,NGC7331,3,14.7,1.5,3,75.0,2.0,250.631,0.693,3.99,2470.76,5.02,1806.47,11.067,27.01,239.0,5.4,1,"Be91,Be87",125315500000.0,272.46,3618580174893.22,11.098004791250704,12.558538199492949,1.4605334082422434
UGC04278,25,2,14.8975663963732,21.335318046109602,7.953233153440141,20.828736452912942,-0.5065815931966604,6.94433324293306,UGC04278,7,9.51,2.85,1,90.0,3.0,1.307,0.026,2.46,34.11,2.21,377.42,1.116,8.9,91.4,4.8,1,"dB02,Sw02",653500000.0,104.196,202387219486.1088,8.815245591916563,11.306183083850028,2.4909374919334653
UGC03205,46,2,333.8384911083492,341.4957739013274,65.22406431903993,80.5386299049963,-260.9571439963311,268.6144267893093,UGC03205,2,50.0,10.0,1,67.0,4.0,113.642,1.361,5.35,587.26,3.19,3915.89,9.677,28.6,219.6,8.6,1,"No07,No05",56821000000.0,250.34399999999997,2806994127066.1323,10.754508872657953,12.448241503982697,1.6937326313247445
UGC05986,15,1,11.436643066345011,16.85274346854943,11.436659462516804,22.268860266925643,5.416116798376212,-1.6396171792720793e-05,UGC05986,9,8.63,2.59,1,90.0,3.0,4.695,0.048,3.12,76.71,1.67,1725.16,2.667,16.53,113.0,4.1,2,"Sw09,Sw02",2347500000.0,128.82,382454545665.9173,9.370605600938148,11.582579827098794,2.2119742261606454
UGC02885,19,3,75.42553428259511,81.314412240928,18.644843042534195,30.422598959199956,-50.891813281728034,56.78069124006092,UGC02885,5,80.6,8.06,1,64.0,4.0,403.525,4.088,12.2,421.53,11.4,470.79,40.075,74.24,289.5,12.0,1,"Sa96,RA85",201762500000.0,330.03,6431173125571.1,11.304840450521027,12.8082902008389,1.5034497503178716
UGC05253,73,2,100.23825764886385,108.81917653116064,82.9726884873876,100.13452625198116,-8.684650279179479,17.26556916147625,UGC05253,2,22.9,5.72,1,37.0,4.0,171.582,0.79,4.28,1488.78,8.07,189.16,16.396,36.64,213.7,7.1,2,"No07,No05",85791000000.0,243.61799999999997,2586771474506.5576,10.933441730094035,12.412758063140744,1.4793163330467056
NGC4157,15,1,3.5584974847795934,8.974597886984014,0.8662314273726924,11.698432231781533,2.7238343447975186,2.692266057406901,NGC4157,3,18.0,2.5,4,82.0,3.0,105.62,0.486,4.44,848.85,2.32,23813.87,8.226,24.09,184.7,7.2,1,"VS01,SV98",52810000000.0,210.55799999999996,1670110409708.6428,10.722716167488494,12.22274518296926,1.5000290154807647
UGC06446,17,1,6.744356039754531,12.410782727866962,2.165633364745528,13.498486740970392,1.08770401310343,4.578722675009002,UGC06446,7,12.0,3.6,1,51.0,3.0,0.988,0.032,2.06,37.05,1.49,86.46,1.379,10.33,82.2,4.3,1,"VS01,SV98",494000000.0,93.708,147217673171.4916,8.693726948923647,11.167959949268685,2.4742330003450377
UGC05721,23,1,8.28132392982599,14.55231236168429,8.193203682382265,20.735180546098864,6.182868184414573,0.08812024744372593,UGC05721,7,6.18,1.85,1,61.0,5.0,0.531,0.011,0.6,233.79,0.38,913.76,0.562,6.74,79.7,6.6,1,"dB02,Sw02",265500000.0,90.858,134189786166.18344,8.424064525417489,11.127719460836872,2.703654935419383
UGC06923,6,1,1.9666674374212172,5.5501863758773275,1.9666732748438385,9.133711151756058,3.5835247758787308,-5.837422621279842e-06,UGC06923,10,18.0,2.5,4,65.0,2.0,2.89,0.077,1.66,166.28,1.44,347.4,0.809,6.75,79.6,2.5,2,"VS01,SV98",1445000000.0,90.744,133685313814.98332,9.159867847092569,11.12608369986154,1.9662158527689737
UGC06818,8,1,7.965410705174008,12.12429378853368,7.438010765599279,15.755776932318621,3.6314831437849406,0.5273999395747291,UGC06818,9,18.0,2.5,4,75.0,3.0,1.588,0.057,2.12,56.08,1.39,286.31,1.079,6.96,71.2,4.0,2,"VS01,SV98",794000000.0,81.16799999999999,95671917319.82304,8.899820502427096,10.980784477559103,2.0809639751320077
UGC04499,9,1,1.70299151292755,6.097440667599989,1.7029915361439778,10.491889845488856,4.394449177888867,-2.321642789127054e-08,UGC04499,8,12.5,3.75,1,50.0,3.0,1.552,0.043,2.69,33.79,1.73,127.3,1.1,8.67,72.8,2.4,1,"Sw09,Sw02",776000000.0,82.99199999999999,102267734335.2918,8.889861721258189,11.009738634587643,2.119876913329456
UGC05005,11,1,0.12796141510787531,4.9237519607046165,0.12610807638872237,9.717689167582206,4.793937206877589,0.0018533387191529416,UGC05005,10,53.7,10.7,1,41.0,10.0,4.1,0.283,5.02,25.63,3.2,65.59,3.093,21.61,98.9,7.2,1,"dB02,VH93",2050000000.0,112.746,256409062886.69147,9.311753861055754,11.408933371440073,2.0971795103843185
UGC03546,15,1,15.643625010299916,21.059725412504335,15.643628041664241,26.47582884607308,5.416103433568747,-3.0313643257784406e-06,UGC03546,1,28.7,7.2,1,55.0,5.0,101.336,0.747,2.58,2403.42,3.79,922.21,2.675,18.37,196.9,7.4,1,"No07,No05",50668000000.0,224.466,2023399531322.4412,10.70473376187689,12.30608164506289,1.6013478831859995
UGC06787,55,2,1787.888300356263,1795.902966726728,1114.5529144101868,1130.5822471511167,-665.3207195756113,673.3353859460763,UGC06787,2,21.3,5.32,1,66.0,3.0,98.256,0.543,2.88,1891.6,5.37,429.37,5.03,26.44,248.1,4.8,2,"No07,No05",49128000000.0,282.83399999999995,4047853531168.984,10.691329084374113,12.607224789465162,1.9158957050910512
UGC03580,25,1,65.13561471430359,71.57336636403998,61.49970015222199,74.37520345169479,2.8018370876548033,3.635914562081595,UGC03580,1,20.7,5.2,1,63.0,4.0,13.266,0.195,1.84,614.94,2.43,302.57,4.37,19.97,126.2,3.2,2,"No07,No05",6633000000.0,143.868,532748899632.86847,9.821709997298376,11.726522561372882,1.904812564074506
UGC06399,9,1,0.33013787732474337,4.724587031997182,0.3301380795280369,9.119036388872916,4.394449356875733,-2.022032935533602e-07,UGC06399,9,18.0,2.5,4,75.0,2.0,2.296,0.072,3.45,30.82,2.05,311.05,0.674,8.8,85.0,3.8,1,"VS01,SV98",1148000000.0,96.9,162780086074.8074,9.059941888061957,11.211601273791413,2.1516593857294577
NGC5907,19,3,171.69199025489357,177.58086821322644,45.82180215759098,57.59955807425674,-119.98131013896969,125.87018809730259,NGC5907,5,17.3,0.9,2,88.0,2.0,175.425,0.646,7.88,449.6,5.34,8646.29,21.025,0.0,215.0,2.9,1,"Sa96,SA87",87712500000.0,245.09999999999997,2634267515479.282,10.943061489536872,12.42065987639535,1.477598386858478
UGC07690,7,1,0.5561937025108918,4.4480140006215185,0.5561940155396999,8.339834611760953,3.8918206111394342,-3.130288080965826e-07,UGC07690,10,8.11,2.43,1,41.0,5.0,0.858,0.018,0.86,184.01,0.57,395.21,0.39,5.5,57.4,3.2,2,"Sw09,Sw02",429000000.0,65.43599999999999,50127976488.69657,8.632457292184725,10.700080173842457,2.06762288165773
UGC07151,11,1,8.203970152587937,12.999760698184678,8.123690196052566,17.715271287246047,4.715510589061369,0.0802799565353709,UGC07151,6,6.87,0.34,2,90.0,3.0,2.284,0.025,2.17,76.71,1.25,965.67,0.616,6.39,73.5,2.8,1,"Sw09,Sw02",1142000000.0,83.78999999999999,105246221729.81998,9.05766610390983,11.02220651390112,1.9645404099912904
UGC07261,7,1,1.9067551421680182,5.798575440278645,0.0765132573861177,7.860153853607371,2.061578413328726,1.8302418847819006,UGC07261,8,13.1,3.93,1,30.0,10.0,1.753,0.048,2.66,39.16,1.2,566.02,1.388,10.1,74.7,3.4,2,"Sw09,Sw02",876500000.0,85.158,110485758646.426,8.942751920429814,11.04330630209473,2.1005543816649173
UGC07399,10,2,7.337419819724948,11.94259000571304,0.7038251296072338,9.914165501583417,-2.0284245041296227,6.6335946901177145,UGC07399,8,8.43,2.53,1,55.0,3.0,1.156,0.024,1.27,113.98,1.64,135.78,0.745,7.85,103.0,3.3,1,"Sw09,Sw02",578000000.0,117.42,289638420706.3156,8.76192783842053,11.461856170764053,2.6999283323435215
UGC06614,12,1,1.318666842108753,6.2884801416847536,1.318672914423769,11.258299513575771,4.969819371891018,-6.0723150159258665e-06,UGC06614,1,88.7,8.87,1,36.0,10.0,124.35,2.52,3.68,1461.61,5.1,540.54,21.888,60.63,199.8,16.0,1,"dB01,VH93",62175000000.0,227.772,2114126394386.3047,10.793615793941974,12.325130948318424,1.53151515437645
UGC06786,45,2,146.17542514444983,153.78875012399047,31.739139057136892,46.96578901621817,-106.8229611077723,114.43628608731294,UGC06786,0,29.3,7.32,1,64.0,3.0,73.407,0.676,3.42,992.73,3.6,1078.52,5.03,20.31,219.4,7.8,1,"No07,No05",36703500000.0,250.116,2799331726950.808,10.564707480007137,12.447054366364611,1.8823468863574744
UGC06930,10,1,1.4346833208659118,6.039853506854003,0.7578662554906083,9.968206627466792,3.9283531206127886,0.6768170653753035,UGC06930,7,18.0,2.5,4,32.0,5.0,8.932,0.14,4.38,73.93,3.94,189.16,3.237,16.76,107.2,5.1,1,"VS01,SV98",4466000000.0,122.208,326534334064.18646,9.64991871873542,11.513928852718788,1.8640101339833688
UGC05716,12,2,25.56662641589315,30.53643971546915,7.480772656567253,17.420399255719254,-13.116040459749897,18.085853759325897,UGC05716,9,21.3,5.3,1,54.0,10.0,0.588,0.042,1.84,27.59,1.14,90.54,1.094,10.64,73.1,1.2,2,vZ97,294000000.0,83.33399999999999,103537250428.39767,8.468347330412158,11.015096627522116,2.546749297109958
UGC06667,9,1,0.6655771659087938,5.060026320581233,0.6494957785606287,9.438394087905507,4.378367767324274,0.01608138734816511,UGC06667,6,18.0,2.5,4,89.0,1.0,1.397,0.066,3.5,18.06,5.15,614.94,0.809,8.59,83.8,3.1,1,"VS01,SV98",698500000.0,95.53199999999998,155982742740.48978,8.844166410450201,11.193076552539363,2.348910142089162
UGC06917,11,1,1.7729270766280805,6.568717622224822,1.7439105219828264,11.335491613176309,4.766773990951487,0.0290165546452541,UGC06917,9,18.0,2.5,4,56.0,2.0,6.832,0.12,4.52,53.07,2.76,261.11,2.023,12.67,108.7,3.5,1,"VS01,SV98",3416000000.0,123.918,340434157752.6616,9.533517862016968,11.532033128907418,1.9985152668904504
UGC10310,7,1,0.46811198192203535,4.359932280032662,0.46811232184741214,8.251752918068664,3.8918206380360028,-3.399253767910615e-07,UGC10310,9,15.2,4.6,1,34.0,6.0,1.741,0.053,3.12,28.37,1.8,158.79,1.196,9.58,71.4,3.9,1,"Sw09,Sw02",870500000.0,81.396,96480408136.88268,8.93976877545335,10.984439131977055,2.0446703565237065
UGC08286,17,2,18.788259064299904,24.454685752412338,8.636344260382737,19.969197636607603,-4.485488115804735,10.151914803917167,UGC08286,6,6.5,0.21,2,90.0,3.0,1.255,0.018,2.25,39.52,1.05,1488.78,0.642,8.07,82.4,2.3,1,"Sw09,Sw02",627500000.0,93.936,148294871401.63364,8.797613730153076,11.171126131739882,2.3735124015868063
UGC07603,12,1,2.0398902908629717,7.009703590438972,2.039891638087874,11.979518237239876,4.969814646800904,-1.3472249023038785e-06,UGC07603,7,4.7,1.41,1,78.0,3.0,0.376,0.008,0.85,81.81,0.53,520.99,0.258,4.37,61.6,2.8,1,"Sw09,Sw02",188000000.0,70.22399999999999,61956465361.981544,8.27415784926368,10.79208663314181,2.51792878387813
UGC07125,13,1,2.7277109511799216,7.857609666102995,2.7277120313996437,12.987509461245791,5.129899795142796,-1.080219722116027e-06,UGC07125,9,19.8,5.9,1,90.0,3.0,2.712,0.08,3.92,28.11,3.38,103.0,4.629,23.04,65.2,2.1,1,"Sw09,Sw02",1356000000.0,74.328,73466150447.23094,9.132259689531043,10.866087283844294,1.733827594313249
UGC08699,37,2,112.0798910511451,119.30172687643355,17.81307465837477,32.25674630895167,-87.04498056748187,94.26681639277032,UGC08699,2,39.3,9.82,1,73.0,9.0,50.302,0.695,1.91,2191.95,3.09,1370.35,3.738,19.05,182.4,6.9,2,"No07,No05",25151000000.0,207.936,1608492345889.5908,10.400555257218906,12.206418998625727,1.8058637414068208
UGC08550,11,2,8.53463520303512,13.33042574863186,3.0920550808635245,12.683636172057007,-0.6467895765748537,5.442580122171595,UGC08550,7,6.7,2.0,1,90.0,3.0,0.289,0.009,1.01,45.38,0.45,1284.78,0.288,5.59,56.9,1.9,1,"Sw09,Sw02",144500000.0,64.866,48829389654.74748,8.159867847092567,10.688681295833748,2.5288134487411806
UGC07524,31,1,6.863573286364456,13.731547695334749,5.2721829194291026,19.008131737369688,5.276584042034939,1.5913903669353537,UGC07524,9,4.74,0.24,2,46.0,3.0,2.436,0.025,3.61,29.71,3.46,106.86,1.779,12.11,79.5,3.6,1,"Sw09,Sw02",1218000000.0,90.63,133182107391.2265,9.085647288296856,11.124445882617945,2.038798594321088
UGC11455,33,2,56.96245947754536,63.95547460047832,46.94093925843462,60.92696950430054,-3.0285050961777813,10.02152021911074,UGC11455,6,78.6,11.8,1,90.0,1.0,374.322,3.792,10.06,571.26,5.93,9568.2,13.335,43.44,269.4,7.4,1,SG06,187161000000.0,307.11599999999993,5182475656956.316,11.27221535695892,12.714537270809435,1.442321913850515
UGC06983,17,1,6.352650874359593,12.019077562472026,5.832993235912825,17.165846612137692,5.146769049665666,0.5196576384467679,UGC06983,6,18.0,2.5,4,49.0,1.0,5.298,0.102,3.95,53.56,3.21,121.57,2.967,16.07,109.0,5.8,1,"VS01,SV98",2649000000.0,124.26,343260626239.56323,9.423081958297232,11.535623990470404,2.112542032173174
UGC09133,64,2,671.8487095111511,680.1664756778705,366.0861384261741,382.7216707596128,-297.4448049182577,305.762571084977,UGC09133,2,57.1,11.4,1,53.0,6.0,282.926,2.345,5.92,1284.78,6.97,864.63,33.428,60.35,226.8,4.2,1,"No07,No05",141463000000.0,258.55199999999996,3092243229567.6963,11.150642863909232,12.490273647311142,1.3396307834019083
UGCA444,36,1,7.411353605144309,14.578391482056528,1.8310509422678332,16.165126696092273,1.5867352140357447,5.580302662876476,UGCA444,10,0.98,0.05,2,78.0,4.0,0.012,0.0,0.41,11.94,0.83,22.74,0.067,2.08,37.0,4.8,2,Ke07,6000000.0,42.18,13426093547.64457,6.778151250383644,10.12794966884952,3.349798418465875
UGC12506,31,2,21.004456832037587,27.87243124100788,2.9075434189040905,16.643492236844676,-11.228939004163205,18.096913413133496,UGC12506,6,100.6,10.1,1,86.0,4.0,139.571,3.214,12.36,144.82,7.38,5608.28,35.556,59.01,234.0,16.8,2,Ha14,69785500000.0,266.76,3396190703827.7944,10.843765194483272,12.530992068878962,1.6872268743956909
UGC02487,17,1,64.89153983692817,70.55796652504061,60.63498843128099,71.96784180750585,1.4098752824652365,4.256551405647187,UGC02487,0,69.1,10.4,1,36.0,5.0,489.955,4.061,9.63,818.14,7.89,1150.35,17.963,40.2,332.0,3.5,1,"No07,No05",244977500000.0,378.48,9699709949754.818,11.38912619834589,12.986758747760645,1.5976325494147527
UGC11914,63,3,500.842202359316,509.12847181209906,49.67193846660018,66.24447737216632,-442.88399443993274,451.1702638927158,UGC11914,2,16.9,5.1,1,31.0,5.0,150.028,0.553,3.12,2425.66,2.44,3168.33,0.888,9.26,288.1,10.5,1,"No07,No05",75014000000.0,328.434,6338321606064.766,10.875142324129556,12.801974271489774,1.926831947360219
UGC09037,19,1,8.5582967317383,14.447174690071181,8.558317384656647,20.336073301322408,5.888898611251227,-2.0652918346186766e-05,UGC09037,6,83.6,8.4,1,65.0,5.0,68.614,1.769,5.69,334.83,4.28,841.07,19.078,39.72,152.3,9.6,2,Ha14,34307000000.000004,173.622,936362918633.4988,10.535382742526886,11.971444206656662,1.436061464129775
UGC08490,30,2,18.571521468214993,25.373916231539305,3.7347870816063566,17.33957660825498,-8.034339623284325,14.836734386608637,UGC08490,9,4.65,0.53,2,50.0,3.0,1.017,0.012,1.14,124.98,0.67,576.54,0.72,7.8,78.6,3.8,1,"Sw09,Sw02",508499999.99999994,89.60399999999998,128709953902.77869,8.706290957258764,11.109612134766758,2.403321177507994
UGCA442,8,1,3.6895728639976935,7.848455947357365,1.397893635842093,9.715659802561436,1.867203855204071,2.2916792281556004,UGCA442,9,4.35,0.22,2,64.0,7.0,0.14,0.005,1.71,7.6,1.18,116.1,0.263,4.37,56.4,2.1,1,Co00,70000000.0,64.29599999999999,47553425707.58282,7.845098040014257,10.67718180859856,2.832083768584305
UGC12632,15,1,0.8564798790917586,6.272580281296179,0.688343964063188,11.520544768472028,5.2479644871758495,0.16813591502857061,UGC12632,9,9.77,2.93,1,46.0,3.0,1.301,0.03,3.94,13.09,2.42,66.81,1.744,12.6,71.7,2.8,1,"Sw09,Sw02",650500000.0,81.738,97701664722.11696,8.813247300897604,10.989901963651937,2.1766546627543306
UGC01281,25,1,,,,,,,UGC01281,8,5.27,0.24,2,90.0,1.0,0.353,0.009,2.01,13.83,1.63,135.78,0.294,5.26,55.2,3.5,1,"dB02,Sw02",176500000.0,62.928,44582224022.35806,8.246744709723842,10.64916172983613,2.4024170201122885
