galaxy,dom,n,excess,dsig
NGC2403,inner,14,-0.036585437332343734,0.8736737540647699
NGC2403,outer,11,-0.044457871001141555,0.13992579958467566
NGC2841,inner,18,0.043828591033907426,3.486776889528109
NGC3198,inner,19,-0.03012807802109009,0.9747404669625368
NGC3521,inner,9,-0.08016609409583425,2.0319325242700543
NGC3521,outer,8,-0.047950327151562125,1.424520269400844
