disk pa,disk el,xcen,ycen
  1.6081E+02,  6.1466E-01,  5.0424E+02,  5.1521E+02
  1.6080E+02,  6.3520E-01,  5.0301E+02,  5.1344E+02
  1.6064E+02,  5.8304E-01,  5.0494E+02,  5.1367E+02
  1.6085E+02,  6.0114E-01,  5.0493E+02,  5.1560E+02
  1.6049E+02,  6.0310E-01,  5.0483E+02,  5.1257E+02
  1.6102E+02,  6.3952E-01,  5.0475E+02,  5.1256E+02
  1.6021E+02,  6.5513E-01,  5.0350E+02,  5.1730E+02
  1.6097E+02,  6.3649E-01,  5.0601E+02,  5.1356E+02
  1.6032E+02,  6.1911E-01,  5.0313E+02,  5.1485E+02
  1.6017E+02,  6.3361E-01,  5.0525E+02,  5.1274E+02
  1.6050E+02,  6.5343E-01,  5.0315E+02,  5.1518E+02
  1.6073E+02,  6.2015E-01,  5.0414E+02,  5.1543E+02
  1.6062E+02,  6.0420E-01,  5.0435E+02,  5.1288E+02
  1.6056E+02,  6.1558E-01,  5.0492E+02,  5.1528E+02
  1.6122E+02,  5.8433E-01,  5.0330E+02,  5.1747E+02
  1.6052E+02,  6.5034E-01,  5.0560E+02,  5.1578E+02
  1.6094E+02,  6.1098E-01,  5.0356E+02,  5.1297E+02
  1.6059E+02,  5.9838E-01,  5.0258E+02,  5.1426E+02
  1.5982E+02,  6.4976E-01,  5.0343E+02,  5.1501E+02
  1.6099E+02,  6.3183E-01,  5.0607E+02,  5.1407E+02
  1.6043E+02,  5.8761E-01,  5.0534E+02,  5.1347E+02
  1.6160E+02,  6.3688E-01,  5.0460E+02,  5.1527E+02
  1.6041E+02,  6.0781E-01,  5.0289E+02,  5.1509E+02
  1.6137E+02,  5.8722E-01,  5.0297E+02,  5.1666E+02
  1.6011E+02,  6.1786E-01,  5.0715E+02,  5.1548E+02
  1.6050E+02,  6.0847E-01,  5.0265E+02,  5.1395E+02
  1.6104E+02,  6.1770E-01,  5.0401E+02,  5.1612E+02
  1.6025E+02,  6.0420E-01,  5.0558E+02,  5.1368E+02
  1.6050E+02,  6.3901E-01,  5.0460E+02,  5.1301E+02
  1.6039E+02,  6.1718E-01,  5.0330E+02,  5.1552E+02
  1.6075E+02,  5.9931E-01,  5.0466E+02,  5.1309E+02
  1.6065E+02,  6.3992E-01,  5.0318E+02,  5.1356E+02
  1.6175E+02,  6.0735E-01,  5.0410E+02,  5.1786E+02
  1.6055E+02,  6.3623E-01,  5.0435E+02,  5.1297E+02
  1.5997E+02,  5.8489E-01,  5.0576E+02,  5.1529E+02
  1.6013E+02,  6.3071E-01,  5.0344E+02,  5.1361E+02
  1.6097E+02,  6.3190E-01,  5.0335E+02,  5.1423E+02
  1.6031E+02,  6.2869E-01,  5.0424E+02,  5.1556E+02
  1.6045E+02,  6.3229E-01,  5.0437E+02,  5.1582E+02
  1.6023E+02,  5.9974E-01,  5.0415E+02,  5.1363E+02
  1.6152E+02,  6.3285E-01,  5.0523E+02,  5.1737E+02
  1.6118E+02,  6.1262E-01,  5.0608E+02,  5.1325E+02
  1.6081E+02,  5.8971E-01,  5.0492E+02,  5.1514E+02
  1.6025E+02,  6.1472E-01,  5.0707E+02,  5.1577E+02
  1.6173E+02,  6.1015E-01,  5.0386E+02,  5.1632E+02
  1.5980E+02,  5.9788E-01,  5.0472E+02,  5.1487E+02
  1.6118E+02,  6.4601E-01,  5.0635E+02,  5.1648E+02
  1.6089E+02,  6.2292E-01,  5.0387E+02,  5.1592E+02
  1.5972E+02,  6.2883E-01,  5.0385E+02,  5.1445E+02
  1.6056E+02,  6.0605E-01,  5.0285E+02,  5.1497E+02
  1.6030E+02,  6.0959E-01,  5.0702E+02,  5.1574E+02
  1.6042E+02,  6.0653E-01,  5.0276E+02,  5.1397E+02
  1.6058E+02,  6.5061E-01,  5.0696E+02,  5.1611E+02
  1.6099E+02,  6.4253E-01,  5.0664E+02,  5.1595E+02
  1.6072E+02,  6.3714E-01,  5.0294E+02,  5.1357E+02
  1.6028E+02,  6.3581E-01,  5.0462E+02,  5.1583E+02
  1.6096E+02,  6.1166E-01,  5.0414E+02,  5.1609E+02
  1.6123E+02,  6.4437E-01,  5.0578E+02,  5.1658E+02
  1.6082E+02,  6.4894E-01,  5.0688E+02,  5.1654E+02
  1.6060E+02,  6.4050E-01,  5.0429E+02,  5.1274E+02
  1.6019E+02,  6.2993E-01,  5.0365E+02,  5.1361E+02
  1.6077E+02,  5.8732E-01,  5.0545E+02,  5.1543E+02
  1.6123E+02,  6.5284E-01,  5.0521E+02,  5.1485E+02
  1.6074E+02,  5.9297E-01,  5.0567E+02,  5.1414E+02
  1.6167E+02,  6.3168E-01,  5.0495E+02,  5.1780E+02
  1.6104E+02,  6.0512E-01,  5.0405E+02,  5.1505E+02
  1.6096E+02,  6.0871E-01,  5.0658E+02,  5.1509E+02
  1.6107E+02,  6.1907E-01,  5.0600E+02,  5.1428E+02
  1.6052E+02,  6.4444E-01,  5.0525E+02,  5.1303E+02
  1.6083E+02,  6.0534E-01,  5.0586E+02,  5.1495E+02
  1.6044E+02,  6.5721E-01,  5.0534E+02,  5.1621E+02
  1.6137E+02,  6.4861E-01,  5.0616E+02,  5.1711E+02
  1.6047E+02,  6.0842E-01,  5.0262E+02,  5.1398E+02
  1.6065E+02,  6.2397E-01,  5.0391E+02,  5.1352E+02
  1.6056E+02,  6.0462E-01,  5.0450E+02,  5.1319E+02
  1.6044E+02,  6.0900E-01,  5.0373E+02,  5.1677E+02
  1.6065E+02,  6.2535E-01,  5.0376E+02,  5.1364E+02
  1.5933E+02,  6.2379E-01,  5.0484E+02,  5.1751E+02
  1.6097E+02,  6.2711E-01,  5.0711E+02,  5.1588E+02
  1.6056E+02,  6.0352E-01,  5.0280E+02,  5.1418E+02
  1.6042E+02,  5.8979E-01,  5.0537E+02,  5.1356E+02
  1.6060E+02,  6.1303E-01,  5.0448E+02,  5.1480E+02
  1.6105E+02,  6.3261E-01,  5.0567E+02,  5.1286E+02
  1.6050E+02,  6.2806E-01,  5.0327E+02,  5.1358E+02
  1.6111E+02,  6.2223E-01,  5.0564E+02,  5.1285E+02
  1.5978E+02,  6.5309E-01,  5.0362E+02,  5.1724E+02
  1.6012E+02,  6.3183E-01,  5.0706E+02,  5.1540E+02
  1.6033E+02,  6.4726E-01,  5.0353E+02,  5.1672E+02
  1.6034E+02,  6.1745E-01,  5.0343E+02,  5.1554E+02
  1.6069E+02,  5.9539E-01,  5.0346E+02,  5.1690E+02
  1.6042E+02,  6.1187E-01,  5.0356E+02,  5.1596E+02
  1.6073E+02,  6.4339E-01,  5.0477E+02,  5.1300E+02
  1.6099E+02,  6.3153E-01,  5.0705E+02,  5.1614E+02
  1.6032E+02,  6.1925E-01,  5.0723E+02,  5.1575E+02
  1.6052E+02,  6.3942E-01,  5.0492E+02,  5.1324E+02
  1.6034E+02,  6.2983E-01,  5.0425E+02,  5.1571E+02
  1.5949E+02,  6.0638E-01,  5.0489E+02,  5.1602E+02
  1.6105E+02,  6.2965E-01,  5.0515E+02,  5.1275E+02
  1.6015E+02,  6.3144E-01,  5.0417E+02,  5.1586E+02
  1.6022E+02,  5.8151E-01,  5.0562E+02,  5.1486E+02
  1.6037E+02,  6.0787E-01,  5.0580E+02,  5.1404E+02
  1.6094E+02,  6.4282E-01,  5.0661E+02,  5.1610E+02
  1.6063E+02,  6.2542E-01,  5.0377E+02,  5.1355E+02
  1.6040E+02,  5.8548E-01,  5.0593E+02,  5.1425E+02
  1.6058E+02,  6.2840E-01,  5.0397E+02,  5.1472E+02
  1.6029E+02,  6.1446E-01,  5.0419E+02,  5.1353E+02
  1.6165E+02,  5.9804E-01,  5.0346E+02,  5.1645E+02
  1.6064E+02,  6.0766E-01,  5.0448E+02,  5.1332E+02
  1.6070E+02,  6.3385E-01,  5.0451E+02,  5.1338E+02
  1.6022E+02,  6.2549E-01,  5.0711E+02,  5.1576E+02
  1.5963E+02,  5.9674E-01,  5.0516E+02,  5.1557E+02
  1.5935E+02,  6.3357E-01,  5.0447E+02,  5.1727E+02
