r,NC,Vc,sigma,n,dsig,NCn
1.3780366026471036,26.21184834560918,151.82453844038903,59.9487578125,1391,10.654691406249995,0.17264566462621425
3.327767693519931,14.218685502680676,203.35826280527553,49.29406640625,3378,3.6699326171875057,0.06991938909458374
5.277498784392758,14.306442137350311,215.11581085496107,41.954201171875,5332,0.0,0.06650576766296475
7.227229875265586,14.047802333217236,217.01622757580895,39.150453125,7275,0.0,0.06473157556068014
9.176960966138413,17.603018262864108,206.28641007636554,37.518748046875004,9274,0.0,0.08533290320165839
11.126692057011239,17.249379601064298,205.00065448435242,31.63414453125,11262,0.0,0.08414304649149758
13.076423147884066,18.913827721058016,204.08096387169772,29.240587890625,13220,-0.9347382812499987,0.09267805954184351
15.026154238756893,22.15096076227919,199.2883018792821,29.420509765625,15185,0.0,0.11115033122063042
16.97588532962972,25.543778074732554,193.78772753821565,30.175326171875,17105,0.9347382812499987,0.13181318754922305
18.92561642050255,29.153622314845943,193.15181864186883,27.899224609375,18945,0.0,0.15093630761458654
20.875347511375374,29.46486001506379,193.1981196197288,26.043419921875,20711,0.0,0.15251111176992493
22.825078602248205,35.15369306362149,196.73662172568015,22.6944609375,21569,0.0,0.17868403327895946
24.77480969312103,39.18438058081599,201.74779519375338,19.638837890625,20003,0.0,0.19422457897586598
26.72454078399386,42.461877795008625,198.73244866871187,16.6805849609375,17488,0.0,0.2136635364755799
28.674271874866683,43.4461598344349,194.06569885563957,11.87962646484375,15231,0.0,0.22387346187722423
30.624002965739514,44.171095012732145,194.05392498451295,6.207778320312499,11959,-2.835924072265625,0.22762278586355494
32.57373405661234,39.74691601242504,197.38977110202262,2.575637939453125,6659,-3.6321403808593744,0.20136259234973986
