r,NC,Vc,sigma,n,dsig,NCn
1.0222559028951417,36.11468842934984,49.29074368484677,22.517521484375,4348,4.886869140624999,0.7326870265999338
2.488714660424903,45.870351481507086,62.462338646859145,17.63065234375,10728,0.9863945312499993,0.7343681404700916
3.955173417954664,51.68285405215413,83.32994105653292,15.65786328125,17358,0.0,0.620219496100343
5.421632175484425,56.424623035250555,88.87682330170492,15.09178125,23951,0.0,0.6348631841139192
6.888090933014186,58.18068788238181,88.65489883484717,14.501190429687501,29623,0.0,0.656260270408351
8.354549690543948,61.58277163622825,81.19753274659868,12.540479492187501,34557,0.0,0.7584315625502539
9.821008448073709,60.119702565285344,79.87204811936033,10.7641064453125,40713,0.0,0.752700149562245
11.28746720560347,59.84275805388518,74.39180613461444,10.173748046875,47535,0.0,0.8044267394932948
12.75392596313323,60.5591905422818,65.81736481124827,9.5478720703125,52675,0.0,0.9201096202492166
14.220384720662992,60.99338704047111,65.68661515510118,8.4334453125,55547,0.0,0.928551226097611
15.686843478192753,60.79095852801095,71.3199324481382,7.813067626953125,59329,0.0,0.852369827638527
17.153302235722514,59.87317201420009,82.4522844644769,7.350955078125001,60243,0.0,0.7261554049481234
18.619760993252278,58.930170241820214,85.48110434174232,6.4406865234375,56611,0.0,0.6893941145896415
20.086219750782035,59.5653812588978,81.20932475995694,5.749222412109376,53565,0.0,0.7334795780529451
21.5526785083118,62.23904919712677,85.07907522687223,5.0889521484375,40805,0.0,0.7315435555823785
23.019137265841557,59.87626540909971,73.61161287870914,3.6127236328125,29354,-0.7381142578124997,0.8134078723116508
24.485596023371322,51.64149073547142,22.219799356630265,2.493695556640625,17033,-1.1190280761718752,2.3241204795155763
