r,NC,Vc,sigma,n,dsig,NCn
2.2520607430786925,15.860242523432502,75.80887020977909,26.66832421875,1255,5.1591074218749995,0.2092135455856798
5.3110496085847725,11.995808773926832,127.3883808770339,21.509216796875002,2956,1.5047197265625023,0.09416721282850912
8.370038474090851,9.979881907749629,144.159296113551,18.499777343749997,4682,0.0,0.0692281536938742
11.429027339596932,7.60378390638326,155.27245937474794,17.231255859375,6380,0.0,0.04897058974271563
14.488016205103012,8.633532218510544,155.95906767212412,16.5903203125,8041,0.0,0.055357680366883134
17.547005070609092,8.752034758824916,153.14798709906773,15.044107421875001,9709,0.0,0.057147566380767616
20.605993936115173,8.518536127456048,153.59928545503786,14.658193359375,11468,0.0,0.05545947757647366
23.664982801621253,10.55467366153105,151.38305462951178,14.586509765625001,13121,0.0,0.06972163223527292
26.723971667127334,11.180380790223996,150.34348973669006,13.72535986328125,14852,0.0,0.0743655798452277
29.782960532633414,13.195115352575003,146.70532426332494,13.27174951171875,16322,0.0,0.0899429889053704
32.84194939813949,15.702873852337651,147.4366655209346,12.735599609375,17508,-0.04034423828125,0.10650589388233277
35.90093826364557,21.310467879508447,150.4854380981885,12.77594384765625,17537,0.04034423828125,0.14161149509764412
38.95992712915165,25.39591842748693,150.92487905535376,12.238495117187501,16018,0.0,0.16826860214459824
42.01891599465773,28.072641709997175,153.1907578037972,11.2130986328125,12802,0.0,0.1832528418323506
45.07790486016381,28.477708308508216,155.02499250036095,9.03009912109375,9409,0.0,0.18369753063166191
48.13689372566989,28.762034246021607,153.26489415948186,5.672066162109376,7027,-1.6790164794921871,0.18766224583754243
51.19588259117597,26.708013715977994,152.5811843603733,2.323420532226563,5298,-3.348645629882813,0.17504133178634773
