r,NC,Vc,sigma,n,dsig,NCn
3.478202900755998,75.02836829586397,226.30784964680456,66.8862890625,2589,24.806867187499996,0.3315323282553375
8.95806015508079,46.384784095948156,310.16144338685837,42.079421875,7058,4.373281249999998,0.14955045214338042
14.437917409405582,42.206893381402516,311.48714242430185,33.332859375,11425,0.0,0.13550123787745014
19.917774663730373,41.52859690212573,295.90631380717025,29.233830078125003,15743,-0.412958984374999,0.14034373368994138
25.397631918055165,37.275724938753854,295.2583304765325,29.6467890625,19886,0.412958984374999,0.126247834831934
30.87748917237996,29.998064860037843,288.1500668150617,29.128650390625,24080,0.0,0.10410570155894143
36.35734642670475,25.80776111796637,282.306141630429,27.033492187500002,28243,0.0,0.09141763961958602
41.83720368102955,34.83263830767625,267.0583677453419,22.095015625000002,31643,0.0,0.130430806575181
47.317060935354334,41.3057263112423,264.5664333535501,18.127279296875,32804,0.0,0.15612610332938157
52.79691818967913,44.486638350228134,274.4481989077028,14.4323828125,30291,0.0,0.16209484531975024
58.27677544400392,45.42461941131386,287.4504771050729,11.753004882812501,28415,0.0,0.15802589673458647
63.756632698328715,45.90263851532742,314.74215702010736,11.331584960937501,22648,0.0,0.14584204083088534
69.2364899526535,44.20053435790913,336.75605551302584,10.383262207031251,19262,0.0,0.13125386651346924
74.7163472069783,43.256265325695615,350.9170611829246,8.7811728515625,16575,0.0,0.12326635011669372
80.1962044613031,40.347807184052996,379.5581894892299,7.1562275390625,13619,0.0,0.10630203299881079
85.67606171562788,40.77586641134373,392.4234159589118,5.4328994140625,10461,-0.8616640625,0.10390783208414127
91.15591896995268,39.7200787309002,398.2083892697016,4.234756103515625,6132,-1.1981433105468744,0.09974696616448801
