galaxy,T,n_pts,rmax,model,cap,n_shells,chi2_red,bic
UGC03205,2,46,40.04,einasto,0.1,3,0.426,57.0262
UGC03205,2,46,40.04,einasto,0.2,3,0.2344,50.3204
UGC03205,2,46,40.04,einasto,0.3,3,0.1352,46.8478
UGC03205,2,46,40.04,einasto,0.4,3,0.1286,46.615
UGC03205,2,46,40.04,einasto,0.5,4,0.0577,55.4483
UGC03205,2,46,40.04,einasto,0.6,2,0.4089,46.1688
UGC03205,2,46,40.04,einasto,0.7,2,0.4089,46.1688
UGC03205,2,46,40.04,einasto,0.8,3,0.1289,46.6271
UGC03205,2,46,40.04,einasto,0.9,2,0.4089,46.1688
UGC03205,2,46,40.04,einasto,1.0,4,0.0577,55.4483
UGC03205,2,46,40.04,nfw,0.1,4,0.1721,59.1085
UGC03205,2,46,40.04,nfw,0.2,3,0.2305,50.1815
UGC03205,2,46,40.04,nfw,0.3,2,0.3729,44.7989
UGC03205,2,46,40.04,nfw,0.4,2,0.3645,44.4812
UGC03205,2,46,40.04,nfw,0.5,2,0.3645,44.4812
UGC03205,2,46,40.04,nfw,0.6,2,0.3645,44.4812
UGC03205,2,46,40.04,nfw,0.7,2,0.3645,44.4812
UGC03205,2,46,40.04,nfw,0.8,2,0.3645,44.4812
UGC03205,2,46,40.04,nfw,0.9,2,0.3645,44.4812
UGC03205,2,46,40.04,nfw,1.0,3,0.1293,46.6392
UGC03546,1,15,29.23,burkert,0.1,0,1.2031,21.0568
UGC03546,1,15,29.23,burkert,0.2,0,1.2031,21.0568
UGC03546,1,15,29.23,burkert,0.3,0,1.2031,21.0568
UGC03546,1,15,29.23,burkert,0.4,0,1.2031,21.0568
UGC03546,1,15,29.23,burkert,0.5,0,1.2031,21.0568
UGC03546,1,15,29.23,burkert,0.6,0,1.2031,21.0568
UGC03546,1,15,29.23,burkert,0.7,0,1.2031,21.0568
UGC03546,1,15,29.23,burkert,0.8,0,1.2031,21.0568
UGC03546,1,15,29.23,burkert,0.9,0,1.2031,21.0568
UGC03546,1,15,29.23,burkert,1.0,0,1.2031,21.0568
UGC03546,1,15,29.23,einasto,0.1,1,1.4244,27.7841
UGC03546,1,15,29.23,einasto,0.2,2,0.2445,23.3758
UGC03546,1,15,29.23,einasto,0.3,1,0.8406,21.9466
UGC03546,1,15,29.23,einasto,0.4,1,0.8389,21.9293
UGC03546,1,15,29.23,einasto,0.5,1,0.8389,21.9293
UGC03546,1,15,29.23,einasto,0.6,1,0.8389,21.9293
UGC03546,1,15,29.23,einasto,0.7,1,0.8389,21.9293
UGC03546,1,15,29.23,einasto,0.8,1,0.8389,21.9293
UGC03546,1,15,29.23,einasto,0.9,1,0.8389,21.9293
UGC03546,1,15,29.23,einasto,1.0,1,0.8389,21.9293
UGC03546,1,15,29.23,nfw,0.1,2,0.5165,25.2801
UGC03546,1,15,29.23,nfw,0.2,1,1.0389,23.9289
UGC03546,1,15,29.23,nfw,0.3,1,0.8386,21.9258
UGC03546,1,15,29.23,nfw,0.4,1,0.8333,21.8732
UGC03546,1,15,29.23,nfw,0.5,1,0.8333,21.8732
UGC03546,1,15,29.23,nfw,0.6,1,0.8333,21.8732
UGC03546,1,15,29.23,nfw,0.7,1,0.8333,21.8732
UGC03546,1,15,29.23,nfw,0.8,1,0.8333,21.8732
UGC03546,1,15,29.23,nfw,0.9,1,0.8333,21.8732
UGC03546,1,15,29.23,nfw,1.0,1,0.8333,21.8732
UGC03580,1,25,27.06,burkert,0.1,2,0.8085,39.4951
UGC03580,1,25,27.06,burkert,0.2,2,0.5833,35.6669
UGC03580,1,25,27.06,burkert,0.3,2,0.5506,35.1107
UGC03580,1,25,27.06,burkert,0.4,2,0.5488,35.0804
UGC03580,1,25,27.06,burkert,0.5,2,0.5488,35.0805
UGC03580,1,25,27.06,burkert,0.6,2,0.5488,35.0804
UGC03580,1,25,27.06,burkert,0.7,2,0.5488,35.0803
UGC03580,1,25,27.06,burkert,0.8,2,0.5488,35.0804
UGC03580,1,25,27.06,burkert,0.9,2,0.5488,35.0804
UGC03580,1,25,27.06,burkert,1.0,2,0.5488,35.0804
UGC03580,1,25,27.06,einasto,0.1,4,0.8441,54.3492
UGC03580,1,25,27.06,einasto,0.2,3,0.1621,37.6764
UGC03580,1,25,27.06,einasto,0.3,2,0.5589,35.2529
UGC03580,1,25,27.06,einasto,0.4,2,0.5581,35.2393
UGC03580,1,25,27.06,einasto,0.5,2,0.5581,35.2393
UGC03580,1,25,27.06,einasto,0.6,2,0.5581,35.2393
UGC03580,1,25,27.06,einasto,0.7,2,0.5581,35.2393
UGC03580,1,25,27.06,einasto,0.8,2,0.5581,35.2393
UGC03580,1,25,27.06,einasto,0.9,2,0.5581,35.2393
UGC03580,1,25,27.06,einasto,1.0,2,0.5581,35.2393
UGC03580,1,25,27.06,nfw,0.1,4,0.8415,54.3206
UGC03580,1,25,27.06,nfw,0.2,2,0.8542,40.272
UGC03580,1,25,27.06,nfw,0.3,2,0.5653,35.3619
UGC03580,1,25,27.06,nfw,0.4,2,0.5634,35.3288
UGC03580,1,25,27.06,nfw,0.5,2,0.5634,35.3288
UGC03580,1,25,27.06,nfw,0.6,2,0.5634,35.3288
UGC03580,1,25,27.06,nfw,0.7,2,0.5634,35.3288
UGC03580,1,25,27.06,nfw,0.8,2,0.5634,35.3288
UGC03580,1,25,27.06,nfw,0.9,2,0.5634,35.3288
UGC03580,1,25,27.06,nfw,1.0,2,0.5634,35.3288
UGC04278,7,25,6.69,burkert,0.1,0,0.6477,21.3342
UGC04278,7,25,6.69,burkert,0.2,1,0.0451,16.996
UGC04278,7,25,6.69,burkert,0.3,1,0.0443,16.9798
UGC04278,7,25,6.69,burkert,0.4,1,0.0443,16.9798
UGC04278,7,25,6.69,burkert,0.5,1,0.0443,16.9798
UGC04278,7,25,6.69,burkert,0.6,1,0.0443,16.9798
UGC04278,7,25,6.69,burkert,0.7,1,0.0443,16.9798
UGC04278,7,25,6.69,burkert,0.8,1,0.0443,16.9798
UGC04278,7,25,6.69,burkert,0.9,1,0.0443,16.9798
UGC04278,7,25,6.69,burkert,1.0,1,0.0443,16.9798
UGC04278,7,25,6.69,einasto,0.1,1,0.0995,18.085
UGC04278,7,25,6.69,einasto,0.2,1,0.0668,17.4296
UGC04278,7,25,6.69,einasto,0.3,1,0.0668,17.4296
UGC04278,7,25,6.69,einasto,0.4,1,0.0668,17.4296
UGC04278,7,25,6.69,einasto,0.5,1,0.0668,17.4296
UGC04278,7,25,6.69,einasto,0.6,1,0.0668,17.4296
UGC04278,7,25,6.69,einasto,0.7,1,0.0668,17.4296
UGC04278,7,25,6.69,einasto,0.8,1,0.0668,17.4296
UGC04278,7,25,6.69,einasto,0.9,1,0.0668,17.4296
UGC04278,7,25,6.69,einasto,1.0,1,0.0668,17.4296
UGC04278,7,25,6.69,nfw,0.1,1,0.1293,18.6805
UGC04278,7,25,6.69,nfw,0.2,1,0.0971,18.036
UGC04278,7,25,6.69,nfw,0.3,1,0.0971,18.0363
UGC04278,7,25,6.69,nfw,0.4,1,0.097,18.0351
UGC04278,7,25,6.69,nfw,0.5,1,0.0971,18.0358
UGC04278,7,25,6.69,nfw,0.6,1,0.0971,18.0357
UGC04278,7,25,6.69,nfw,0.7,1,0.097,18.0343
UGC04278,7,25,6.69,nfw,0.8,1,0.0971,18.0355
UGC04278,7,25,6.69,nfw,0.9,1,0.0971,18.0357
UGC04278,7,25,6.69,nfw,1.0,1,0.097,18.0353
UGC04325,9,8,5.59,burkert,0.1,0,0.4119,6.6305
UGC04325,9,8,5.59,burkert,0.2,0,0.4119,6.6305
UGC04325,9,8,5.59,burkert,0.3,0,0.4119,6.6305
UGC04325,9,8,5.59,burkert,0.4,0,0.4119,6.6305
UGC04325,9,8,5.59,burkert,0.5,0,0.4119,6.6305
UGC04325,9,8,5.59,burkert,0.6,0,0.4119,6.6305
UGC04325,9,8,5.59,burkert,0.7,0,0.4119,6.6305
UGC04325,9,8,5.59,burkert,0.8,0,0.4119,6.6305
UGC04325,9,8,5.59,burkert,0.9,0,0.4119,6.6305
UGC04325,9,8,5.59,burkert,1.0,0,0.4119,6.6305
UGC04325,9,8,5.59,einasto,0.1,1,0.1934,10.9774
UGC04325,9,8,5.59,einasto,0.2,1,0.1687,10.9032
UGC04325,9,8,5.59,einasto,0.3,1,0.0976,10.69
UGC04325,9,8,5.59,einasto,0.4,1,0.0949,10.6819
UGC04325,9,8,5.59,einasto,0.5,1,0.0949,10.6819
UGC04325,9,8,5.59,einasto,0.6,1,0.0949,10.6819
UGC04325,9,8,5.59,einasto,0.7,1,0.0949,10.6819
UGC04325,9,8,5.59,einasto,0.8,1,0.0949,10.6819
UGC04325,9,8,5.59,einasto,0.9,1,0.0949,10.6819
UGC04325,9,8,5.59,einasto,1.0,1,0.0949,10.6819
UGC04325,9,8,5.59,nfw,0.1,1,0.1421,10.8236
UGC04325,9,8,5.59,nfw,0.2,1,0.1257,10.7742
UGC04325,9,8,5.59,nfw,0.3,1,0.0867,10.6574
UGC04325,9,8,5.59,nfw,0.4,1,0.0867,10.6574
UGC04325,9,8,5.59,nfw,0.5,1,0.0867,10.6574
UGC04325,9,8,5.59,nfw,0.6,1,0.0867,10.6574
UGC04325,9,8,5.59,nfw,0.7,1,0.0867,10.6574
UGC04325,9,8,5.59,nfw,0.8,1,0.0867,10.6574
UGC04325,9,8,5.59,nfw,0.9,1,0.0867,10.6574
UGC04325,9,8,5.59,nfw,1.0,1,0.0867,10.6574
UGC04499,8,9,8.18,burkert,0.1,0,0.2432,6.097
UGC04499,8,9,8.18,burkert,0.2,0,0.2432,6.097
UGC04499,8,9,8.18,burkert,0.3,0,0.2432,6.097
UGC04499,8,9,8.18,burkert,0.4,0,0.2432,6.097
UGC04499,8,9,8.18,burkert,0.5,0,0.2432,6.097
UGC04499,8,9,8.18,burkert,0.6,0,0.2432,6.097
UGC04499,8,9,8.18,burkert,0.7,0,0.2432,6.097
UGC04499,8,9,8.18,burkert,0.8,0,0.2432,6.097
UGC04499,8,9,8.18,burkert,0.9,0,0.2432,6.097
UGC04499,8,9,8.18,burkert,1.0,0,0.2432,6.097
UGC04499,8,9,8.18,einasto,0.1,0,1.0287,11.5953
UGC04499,8,9,8.18,einasto,0.2,0,1.0287,11.5953
UGC04499,8,9,8.18,einasto,0.3,0,1.0287,11.5953
UGC04499,8,9,8.18,einasto,0.4,0,1.0287,11.5953
UGC04499,8,9,8.18,einasto,0.5,0,1.0287,11.5953
UGC04499,8,9,8.18,einasto,0.6,0,1.0287,11.5953
UGC04499,8,9,8.18,einasto,0.7,0,1.0287,11.5953
UGC04499,8,9,8.18,einasto,0.8,0,1.0287,11.5953
UGC04499,8,9,8.18,einasto,0.9,0,1.0287,11.5953
UGC04499,8,9,8.18,einasto,1.0,0,1.0287,11.5953
UGC04499,8,9,8.18,nfw,0.1,0,1.0446,11.7066
UGC04499,8,9,8.18,nfw,0.2,0,1.0446,11.7066
UGC04499,8,9,8.18,nfw,0.3,0,1.0446,11.7066
UGC04499,8,9,8.18,nfw,0.4,0,1.0446,11.7066
UGC04499,8,9,8.18,nfw,0.5,0,1.0446,11.7066
UGC04499,8,9,8.18,nfw,0.6,0,1.0446,11.7066
UGC04499,8,9,8.18,nfw,0.7,0,1.0446,11.7066
UGC04499,8,9,8.18,nfw,0.8,0,1.0446,11.7066
UGC04499,8,9,8.18,nfw,0.9,0,1.0446,11.7066
UGC04499,8,9,8.18,nfw,1.0,0,1.0446,11.7066
UGC05005,10,11,28.61,burkert,0.1,0,0.0131,4.9134
UGC05005,10,11,28.61,burkert,0.2,0,0.0131,4.9134
UGC05005,10,11,28.61,burkert,0.3,0,0.0131,4.9134
UGC05005,10,11,28.61,burkert,0.4,0,0.0131,4.9134
UGC05005,10,11,28.61,burkert,0.5,0,0.0131,4.9134
UGC05005,10,11,28.61,burkert,0.6,0,0.0131,4.9134
UGC05005,10,11,28.61,burkert,0.7,0,0.0131,4.9134
UGC05005,10,11,28.61,burkert,0.8,0,0.0131,4.9134
UGC05005,10,11,28.61,burkert,0.9,0,0.0131,4.9134
UGC05005,10,11,28.61,burkert,1.0,0,0.0131,4.9134
UGC05005,10,11,28.61,einasto,0.1,0,0.1509,6.1539
UGC05005,10,11,28.61,einasto,0.2,0,0.1509,6.1539
UGC05005,10,11,28.61,einasto,0.3,0,0.1509,6.1539
UGC05005,10,11,28.61,einasto,0.4,0,0.1509,6.1539
UGC05005,10,11,28.61,einasto,0.5,0,0.1509,6.1539
UGC05005,10,11,28.61,einasto,0.6,0,0.1509,6.1539
UGC05005,10,11,28.61,einasto,0.7,0,0.1509,6.1539
UGC05005,10,11,28.61,einasto,0.8,0,0.1509,6.1539
UGC05005,10,11,28.61,einasto,0.9,0,0.1509,6.1539
UGC05005,10,11,28.61,einasto,1.0,0,0.1509,6.1539
UGC05005,10,11,28.61,nfw,0.1,0,0.2179,6.7573
UGC05005,10,11,28.61,nfw,0.2,0,0.2179,6.7573
UGC05005,10,11,28.61,nfw,0.3,0,0.2179,6.7573
UGC05005,10,11,28.61,nfw,0.4,0,0.2179,6.7573
UGC05005,10,11,28.61,nfw,0.5,0,0.2179,6.7573
UGC05005,10,11,28.61,nfw,0.6,0,0.2179,6.7573
UGC05005,10,11,28.61,nfw,0.7,0,0.2179,6.7573
UGC05005,10,11,28.61,nfw,0.8,0,0.2179,6.7573
UGC05005,10,11,28.61,nfw,0.9,0,0.2179,6.7573
UGC05005,10,11,28.61,nfw,1.0,0,0.2179,6.7573
UGC05253,2,73,53.29,burkert,0.1,2,0.6724,78.0266
UGC05253,2,73,53.29,burkert,0.2,2,0.6201,74.6273
UGC05253,2,73,53.29,burkert,0.3,2,0.6185,74.5267
UGC05253,2,73,53.29,burkert,0.4,1,0.6976,68.8862
UGC05253,2,73,53.29,burkert,0.5,1,0.6675,66.8413
UGC05253,2,73,53.29,burkert,0.6,1,0.6675,66.8413
UGC05253,2,73,53.29,burkert,0.7,1,0.6675,66.8413
UGC05253,2,73,53.29,burkert,0.8,1,0.6675,66.8413
UGC05253,2,73,53.29,burkert,0.9,1,0.6675,66.8413
UGC05253,2,73,53.29,burkert,1.0,1,0.6675,66.8413
UGC05253,2,73,53.29,einasto,0.1,4,0.6256,96.9758
UGC05253,2,73,53.29,einasto,0.2,2,0.6521,76.7106
UGC05253,2,73,53.29,einasto,0.3,2,0.5444,69.7093
UGC05253,2,73,53.29,einasto,0.4,2,0.5185,68.0281
UGC05253,2,73,53.29,einasto,0.5,2,0.5185,68.0281
UGC05253,2,73,53.29,einasto,0.6,2,0.5185,68.0281
UGC05253,2,73,53.29,einasto,0.7,2,0.5185,68.0281
UGC05253,2,73,53.29,einasto,0.8,2,0.5185,68.0281
UGC05253,2,73,53.29,einasto,0.9,2,0.5185,68.0281
UGC05253,2,73,53.29,einasto,1.0,2,0.5185,68.0281
UGC05253,2,73,53.29,nfw,0.1,3,0.7556,94.0396
UGC05253,2,73,53.29,nfw,0.2,3,0.5648,82.2096
UGC05253,2,73,53.29,nfw,0.3,2,0.5494,70.0335
UGC05253,2,73,53.29,nfw,0.4,2,0.52,68.1239
UGC05253,2,73,53.29,nfw,0.5,2,0.52,68.1239
UGC05253,2,73,53.29,nfw,0.6,2,0.52,68.1239
UGC05253,2,73,53.29,nfw,0.7,2,0.52,68.1239
UGC05253,2,73,53.29,nfw,0.8,2,0.52,68.1239
UGC05253,2,73,53.29,nfw,0.9,2,0.52,68.1239
UGC05253,2,73,53.29,nfw,1.0,2,0.52,68.1239
UGC05716,9,12,12.37,burkert,0.1,1,0.9864,19.3296
UGC05716,9,12,12.37,burkert,0.2,1,0.9864,19.3296
UGC05716,9,12,12.37,burkert,0.3,1,0.9864,19.3296
UGC05716,9,12,12.37,burkert,0.4,1,0.9864,19.3296
UGC05716,9,12,12.37,burkert,0.5,1,0.9197,18.8627
UGC05716,9,12,12.37,burkert,0.6,1,0.6114,16.7044
UGC05716,9,12,12.37,burkert,0.7,1,0.6114,16.7044
UGC05716,9,12,12.37,burkert,0.8,1,0.6114,16.7044
UGC05716,9,12,12.37,burkert,0.9,1,0.6114,16.7044
UGC05716,9,12,12.37,burkert,1.0,1,0.6114,16.7044
UGC05716,9,12,12.37,einasto,0.1,1,0.5919,16.5681
UGC05716,9,12,12.37,einasto,0.2,1,0.3603,14.9466
UGC05716,9,12,12.37,einasto,0.3,1,0.3603,14.9463
UGC05716,9,12,12.37,einasto,0.4,1,0.3603,14.9463
UGC05716,9,12,12.37,einasto,0.5,1,0.3603,14.9463
UGC05716,9,12,12.37,einasto,0.6,1,0.3603,14.9463
UGC05716,9,12,12.37,einasto,0.7,1,0.3603,14.9463
UGC05716,9,12,12.37,einasto,0.8,1,0.3603,14.9463
UGC05716,9,12,12.37,einasto,0.9,1,0.3603,14.9463
UGC05716,9,12,12.37,einasto,1.0,1,0.3603,14.9463
UGC05716,9,12,12.37,nfw,0.1,1,0.4592,15.639
UGC05716,9,12,12.37,nfw,0.2,1,0.363,14.9654
UGC05716,9,12,12.37,nfw,0.3,1,0.363,14.9654
UGC05716,9,12,12.37,nfw,0.4,1,0.363,14.9654
UGC05716,9,12,12.37,nfw,0.5,1,0.363,14.9654
UGC05716,9,12,12.37,nfw,0.6,1,0.363,14.9654
UGC05716,9,12,12.37,nfw,0.7,1,0.363,14.9654
UGC05716,9,12,12.37,nfw,0.8,1,0.363,14.9654
UGC05716,9,12,12.37,nfw,0.9,1,0.363,14.9654
UGC05716,9,12,12.37,nfw,1.0,1,0.6602,17.0458
UGC05721,7,23,6.74,burkert,0.1,0,0.3928,14.5189
UGC05721,7,23,6.74,burkert,0.2,0,0.3928,14.5189
UGC05721,7,23,6.74,burkert,0.3,0,0.3928,14.5189
UGC05721,7,23,6.74,burkert,0.4,0,0.3928,14.5189
UGC05721,7,23,6.74,burkert,0.5,0,0.3928,14.5189
UGC05721,7,23,6.74,burkert,0.6,0,0.3928,14.5189
UGC05721,7,23,6.74,burkert,0.7,0,0.3928,14.5189
UGC05721,7,23,6.74,burkert,0.8,0,0.3928,14.5189
UGC05721,7,23,6.74,burkert,0.9,0,0.3928,14.5189
UGC05721,7,23,6.74,burkert,1.0,0,0.3928,14.5189
UGC05721,7,23,6.74,einasto,0.1,1,0.1398,18.1933
UGC05721,7,23,6.74,einasto,0.2,1,0.1088,17.6363
UGC05721,7,23,6.74,einasto,0.3,1,0.1088,17.6363
UGC05721,7,23,6.74,einasto,0.4,1,0.1088,17.6363
UGC05721,7,23,6.74,einasto,0.5,1,0.1088,17.6363
UGC05721,7,23,6.74,einasto,0.6,1,0.1088,17.6363
UGC05721,7,23,6.74,einasto,0.7,1,0.1088,17.6363
UGC05721,7,23,6.74,einasto,0.8,1,0.1088,17.6363
UGC05721,7,23,6.74,einasto,0.9,1,0.1088,17.6363
UGC05721,7,23,6.74,einasto,1.0,1,0.1088,17.6363
UGC05721,7,23,6.74,nfw,0.1,1,0.1276,17.9742
UGC05721,7,23,6.74,nfw,0.2,1,0.1144,17.7366
UGC05721,7,23,6.74,nfw,0.3,1,0.1144,17.7366
UGC05721,7,23,6.74,nfw,0.4,1,0.1144,17.7366
UGC05721,7,23,6.74,nfw,0.5,1,0.1144,17.7366
UGC05721,7,23,6.74,nfw,0.6,1,0.1144,17.7366
UGC05721,7,23,6.74,nfw,0.7,1,0.1144,17.7366
UGC05721,7,23,6.74,nfw,0.8,1,0.1144,17.7366
UGC05721,7,23,6.74,nfw,0.9,1,0.1144,17.7366
UGC05721,7,23,6.74,nfw,1.0,1,0.1144,17.7366
UGC05986,9,15,9.41,burkert,0.1,0,0.8708,16.7359
UGC05986,9,15,9.41,burkert,0.2,1,0.2743,16.2834
UGC05986,9,15,9.41,burkert,0.3,1,0.212,15.66
UGC05986,9,15,9.41,burkert,0.4,1,0.212,15.66
UGC05986,9,15,9.41,burkert,0.5,1,0.212,15.66
UGC05986,9,15,9.41,burkert,0.6,1,0.212,15.66
UGC05986,9,15,9.41,burkert,0.7,1,0.212,15.66
UGC05986,9,15,9.41,burkert,0.8,1,0.212,15.66
UGC05986,9,15,9.41,burkert,0.9,1,0.212,15.66
UGC05986,9,15,9.41,burkert,1.0,1,0.212,15.66
UGC05986,9,15,9.41,einasto,0.1,3,1.4325,35.5187
UGC05986,9,15,9.41,einasto,0.2,2,0.7872,27.1749
UGC05986,9,15,9.41,einasto,0.3,1,0.871,22.25
UGC05986,9,15,9.41,einasto,0.4,1,0.7921,21.4611
UGC05986,9,15,9.41,einasto,0.5,1,0.7921,21.4611
UGC05986,9,15,9.41,einasto,0.6,1,0.7921,21.4611
UGC05986,9,15,9.41,einasto,0.7,1,0.7921,21.4611
UGC05986,9,15,9.41,einasto,0.8,1,0.7921,21.4611
UGC05986,9,15,9.41,einasto,0.9,1,0.7921,21.4611
UGC05986,9,15,9.41,einasto,1.0,1,0.7921,21.4611
UGC05986,9,15,9.41,nfw,0.1,3,1.6628,36.4399
UGC05986,9,15,9.41,nfw,0.2,2,0.9469,28.293
UGC05986,9,15,9.41,nfw,0.3,1,1.078,24.3203
UGC05986,9,15,9.41,nfw,0.4,1,1.0139,23.679
UGC05986,9,15,9.41,nfw,0.5,1,1.0139,23.679
UGC05986,9,15,9.41,nfw,0.6,1,1.0139,23.679
UGC05986,9,15,9.41,nfw,0.7,1,1.0139,23.679
UGC05986,9,15,9.41,nfw,0.8,1,1.0139,23.679
UGC05986,9,15,9.41,nfw,0.9,1,1.0139,23.679
UGC05986,9,15,9.41,nfw,1.0,1,1.0139,23.679
UGC06399,9,9,7.85,burkert,0.1,0,0.0472,4.7245
UGC06399,9,9,7.85,burkert,0.2,0,0.0472,4.7245
UGC06399,9,9,7.85,burkert,0.3,0,0.0472,4.7245
UGC06399,9,9,7.85,burkert,0.4,0,0.0472,4.7245
UGC06399,9,9,7.85,burkert,0.5,0,0.0472,4.7245
UGC06399,9,9,7.85,burkert,0.6,0,0.0472,4.7245
UGC06399,9,9,7.85,burkert,0.7,0,0.0472,4.7245
UGC06399,9,9,7.85,burkert,0.8,0,0.0472,4.7245
UGC06399,9,9,7.85,burkert,0.9,0,0.0472,4.7245
UGC06399,9,9,7.85,burkert,1.0,0,0.0472,4.7245
UGC06399,9,9,7.85,einasto,0.1,0,0.5584,8.303
UGC06399,9,9,7.85,einasto,0.2,0,0.5584,8.303
UGC06399,9,9,7.85,einasto,0.3,0,0.5584,8.303
UGC06399,9,9,7.85,einasto,0.4,0,0.5584,8.303
UGC06399,9,9,7.85,einasto,0.5,0,0.5584,8.303
UGC06399,9,9,7.85,einasto,0.6,0,0.5584,8.303
UGC06399,9,9,7.85,einasto,0.7,0,0.5584,8.303
UGC06399,9,9,7.85,einasto,0.8,0,0.5584,8.303
UGC06399,9,9,7.85,einasto,0.9,0,0.5584,8.303
UGC06399,9,9,7.85,einasto,1.0,0,0.5584,8.303
UGC06399,9,9,7.85,nfw,0.1,0,0.658,9.0004
UGC06399,9,9,7.85,nfw,0.2,0,0.658,9.0004
UGC06399,9,9,7.85,nfw,0.3,0,0.658,9.0004
UGC06399,9,9,7.85,nfw,0.4,0,0.658,9.0004
UGC06399,9,9,7.85,nfw,0.5,0,0.658,9.0004
UGC06399,9,9,7.85,nfw,0.6,0,0.658,9.0004
UGC06399,9,9,7.85,nfw,0.7,0,0.658,9.0004
UGC06399,9,9,7.85,nfw,0.8,0,0.658,9.0004
UGC06399,9,9,7.85,nfw,0.9,0,0.658,9.0004
UGC06399,9,9,7.85,nfw,1.0,0,0.658,9.0004
UGC06446,7,17,10.22,burkert,0.1,0,0.4496,12.4108
UGC06446,7,17,10.22,burkert,0.2,0,0.4496,12.4108
UGC06446,7,17,10.22,burkert,0.3,0,0.4496,12.4108
UGC06446,7,17,10.22,burkert,0.4,0,0.4496,12.4108
UGC06446,7,17,10.22,burkert,0.5,0,0.4496,12.4108
UGC06446,7,17,10.22,burkert,0.6,0,0.4496,12.4108
UGC06446,7,17,10.22,burkert,0.7,0,0.4496,12.4108
UGC06446,7,17,10.22,burkert,0.8,0,0.4496,12.4108
UGC06446,7,17,10.22,burkert,0.9,0,0.4496,12.4108
UGC06446,7,17,10.22,burkert,1.0,0,0.4496,12.4108
UGC06446,7,17,10.22,einasto,0.1,0,0.2581,9.5383
UGC06446,7,17,10.22,einasto,0.2,0,0.2581,9.5383
UGC06446,7,17,10.22,einasto,0.3,0,0.2581,9.5383
UGC06446,7,17,10.22,einasto,0.4,0,0.2581,9.5383
UGC06446,7,17,10.22,einasto,0.5,0,0.2581,9.5383
UGC06446,7,17,10.22,einasto,0.6,0,0.2581,9.5383
UGC06446,7,17,10.22,einasto,0.7,0,0.2581,9.5383
UGC06446,7,17,10.22,einasto,0.8,0,0.2581,9.5383
UGC06446,7,17,10.22,einasto,0.9,0,0.2581,9.5383
UGC06446,7,17,10.22,einasto,1.0,0,0.2581,9.5383
UGC06446,7,17,10.22,nfw,0.1,0,0.2147,8.8867
UGC06446,7,17,10.22,nfw,0.2,0,0.2147,8.8867
UGC06446,7,17,10.22,nfw,0.3,0,0.2147,8.8867
UGC06446,7,17,10.22,nfw,0.4,0,0.2147,8.8867
UGC06446,7,17,10.22,nfw,0.5,0,0.2147,8.8867
UGC06446,7,17,10.22,nfw,0.6,0,0.2147,8.8867
UGC06446,7,17,10.22,nfw,0.7,0,0.2147,8.8867
UGC06446,7,17,10.22,nfw,0.8,0,0.2147,8.8867
UGC06446,7,17,10.22,nfw,0.9,0,0.2147,8.8867
UGC06446,7,17,10.22,nfw,1.0,0,0.2147,8.8867
UGC06614,1,12,64.59,burkert,0.1,0,0.1235,6.2051
UGC06614,1,12,64.59,burkert,0.2,0,0.1235,6.2051
UGC06614,1,12,64.59,burkert,0.3,0,0.1235,6.2051
UGC06614,1,12,64.59,burkert,0.4,0,0.1235,6.2051
UGC06614,1,12,64.59,burkert,0.5,0,0.1235,6.2051
UGC06614,1,12,64.59,burkert,0.6,0,0.1235,6.2051
UGC06614,1,12,64.59,burkert,0.7,0,0.1235,6.2051
UGC06614,1,12,64.59,burkert,0.8,0,0.1235,6.2051
UGC06614,1,12,64.59,burkert,0.9,0,0.1235,6.2051
UGC06614,1,12,64.59,burkert,1.0,0,0.1235,6.2051
UGC06614,1,12,64.59,einasto,0.1,1,0.0376,12.6874
UGC06614,1,12,64.59,einasto,0.2,1,0.0307,12.6392
UGC06614,1,12,64.59,einasto,0.3,1,0.0306,12.6386
UGC06614,1,12,64.59,einasto,0.4,1,0.0306,12.6386
UGC06614,1,12,64.59,einasto,0.5,1,0.0306,12.6386
UGC06614,1,12,64.59,einasto,0.6,1,0.0306,12.6386
UGC06614,1,12,64.59,einasto,0.7,1,0.0306,12.6386
UGC06614,1,12,64.59,einasto,0.8,1,0.0306,12.6386
UGC06614,1,12,64.59,einasto,0.9,1,0.0306,12.6386
UGC06614,1,12,64.59,einasto,1.0,1,0.0306,12.6386
UGC06614,1,12,64.59,nfw,0.1,1,0.0352,12.6707
UGC06614,1,12,64.59,nfw,0.2,1,0.0264,12.6093
UGC06614,1,12,64.59,nfw,0.3,1,0.0217,12.5762
UGC06614,1,12,64.59,nfw,0.4,1,0.0217,12.5762
UGC06614,1,12,64.59,nfw,0.5,1,0.0217,12.5762
UGC06614,1,12,64.59,nfw,0.6,1,0.0217,12.5762
UGC06614,1,12,64.59,nfw,0.7,1,0.0217,12.5762
UGC06614,1,12,64.59,nfw,0.8,1,0.0217,12.5762
UGC06614,1,12,64.59,nfw,0.9,1,0.0217,12.5762
UGC06614,1,12,64.59,nfw,1.0,1,0.0217,12.5762
UGC06667,6,9,7.85,burkert,0.1,0,0.0942,5.054
UGC06667,6,9,7.85,burkert,0.2,0,0.0942,5.054
UGC06667,6,9,7.85,burkert,0.3,0,0.0942,5.054
