Galaxy,T,D,e_D,f_D,Inc,e_Inc,L36,e_L36,Reff,SBeff,Rdisk,SBdisk,MHI,RHI,Vflat,e_Vflat,Q,Ref,M_star,r_vir,M_halo,logM_star,logM_halo,logM_halo_per_star
F571-8,5,53.3,10.7,1,85.0,5.0,10.164,0.412,1.4,825.71,3.56,87.26,1.782,24.55,139.7,4.3,1,"dB01,dB96",5082000000.0,159.25799999999998,722659497924.8575,9.70603466071435,11.85893371499108,2.1528990542767303
F571-V1,7,80.1,8.0,1,30.0,10.0,1.849,0.267,4.38,15.3,2.47,64.39,1.217,10.1,83.6,3.5,2,"dB97,dB96",924500000.0,95.30399999999999,154868584518.1601,8.965906915495191,11.189963328965584,2.224056413470393
F574-1,7,96.8,9.68,1,65.0,10.0,6.537,0.596,5.87,29.98,4.46,128.48,3.524,16.19,97.8,4.1,1,"dB01,dB96",3268500000.0,111.49199999999999,247948257759.4044,9.514348489301938,11.394361061011338,1.8800125717094005
F583-1,9,35.4,8.85,1,63.0,5.0,0.986,0.093,3.74,11.19,2.36,60.93,2.126,15.65,85.8,3.6,1,"KN08,dB96",493000000.0,97.81199999999998,167419623214.622,8.69284691927723,11.22380636019465,2.530959440917421
IC2574,9,3.91,0.2,2,75.0,7.0,1.016,0.012,3.18,15.88,2.78,80.32,1.036,10.81,66.4,2.0,2,"Sa96,MC94",508000000.0,75.696,77597679598.03857,8.70586371228392,10.889848734752587,2.1839850224686668
IC4202,4,100.4,10.0,1,90.0,1.0,179.749,3.311,8.55,391.59,4.78,8888.53,12.326,32.13,242.6,11.0,1,SG06,89874500000.0,276.56399999999996,3784572996096.1743,10.953636487281399,12.578016886240198,1.6243803989587988
KK98-251,10,6.8,2.04,1,59.0,5.0,0.085,0.007,1.28,7.89,1.34,52.1,0.115,2.9,33.7,1.6,2,BC04,42500000.0,38.418,10144582988.251328,7.628388930050312,10.00623419926255,2.377845269212239
NGC0024,5,7.3,0.36,2,64.0,3.0,3.889,0.036,2.01,151.65,1.34,1182.58,0.676,7.29,106.3,7.9,1,"Di08,Ch06",1944500000.0,121.18199999999999,318378909016.92896,9.288807947483479,11.502944290218425,2.214136342734946
NGC0055,9,2.11,0.11,2,77.0,3.0,4.628,0.013,3.67,54.55,6.11,391.59,1.565,10.24,85.6,5.0,2,"Sa96,Pu91",2314000000.0,97.58399999999999,166251583557.8982,9.364363354615731,11.220765790679994,1.856402436064263
NGC0100,6,13.5,4.05,1,89.0,1.0,3.232,0.063,2.81,64.99,1.66,1193.52,1.99,16.36,88.1,6.4,1,"dB02,Rh96",1616000000.0,100.43399999999998,181247582195.3958,9.208441356438568,11.258272221884678,2.0498308654461095
