Galaxy,T,D,e_D,f_D,Inc,e_Inc,L36,e_L36,Reff,SBeff,Rdisk,SBdisk,MHI,RHI,Vflat,e_Vflat,Q,Ref,M_star,r_vir,M_halo,logM_star,logM_halo,logM_halo_per_star
UGC06917,9,18.0,2.5,4,56.0,2.0,6.832,0.12,4.52,53.07,2.76,261.11,2.023,12.67,108.7,3.5,1,"VS01,SV98",3416000000.0,123.91799999999999,340434157752.6616,9.533517862016968,11.532033128907418,1.9985152668904504
UGC06923,10,18.0,2.5,4,65.0,2.0,2.89,0.077,1.66,166.28,1.44,347.4,0.809,6.75,79.6,2.5,2,"VS01,SV98",1445000000.0,90.74399999999999,133685313814.98332,9.159867847092567,11.12608369986154,1.9662158527689737
UGC06930,7,18.0,2.5,4,32.0,5.0,8.932,0.14,4.38,73.93,3.94,189.16,3.237,16.76,107.2,5.1,1,"VS01,SV98",4466000000.0,122.208,326534334064.18646,9.64991871873542,11.513928852718788,1.8640101339833688
UGC06983,6,18.0,2.5,4,49.0,1.0,5.298,0.102,3.95,53.56,3.21,121.57,2.967,16.07,109.0,5.8,1,"VS01,SV98",2649000000.0,124.25999999999999,343260626239.56323,9.423081958297232,11.535623990470405,2.112542032173174
UGC07125,9,19.8,5.9,1,90.0,3.0,2.712,0.08,3.92,28.11,3.38,103.0,4.629,23.04,65.2,2.1,1,"Sw09,Sw02",1356000000.0,74.328,73466150447.23094,9.132259689531045,10.866087283844294,1.733827594313249
UGC07151,6,6.87,0.34,2,90.0,3.0,2.284,0.025,2.17,76.71,1.25,965.67,0.616,6.39,73.5,2.8,1,"Sw09,Sw02",1142000000.0,83.78999999999999,105246221729.81998,9.05766610390983,11.02220651390112,1.9645404099912902
UGC07261,8,13.1,3.93,1,30.0,10.0,1.753,0.048,2.66,39.16,1.2,566.02,1.388,10.1,74.7,3.4,2,"Sw09,Sw02",876500000.0,85.158,110485758646.426,8.942751920429814,11.04330630209473,2.1005543816649173
UGC07399,8,8.43,2.53,1,55.0,3.0,1.156,0.024,1.27,113.98,1.64,135.78,0.745,7.85,103.0,3.3,1,"Sw09,Sw02",578000000.0,117.41999999999999,289638420706.3156,8.76192783842053,11.461856170764051,2.6999283323435215
UGC07524,9,4.74,0.24,2,46.0,3.0,2.436,0.025,3.61,29.71,3.46,106.86,1.779,12.11,79.5,3.6,1,"Sw09,Sw02",1218000000.0,90.63,133182107391.2265,9.085647288296856,11.124445882617945,2.0387985943210882
UGC07603,7,4.7,1.41,1,78.0,3.0,0.376,0.008,0.85,81.81,0.53,520.99,0.258,4.37,61.6,2.8,1,"Sw09,Sw02",188000000.0,70.22399999999999,61956465361.981544,8.27415784926368,10.79208663314181,2.51792878387813
UGC07690,10,8.11,2.43,1,41.0,5.0,0.858,0.018,0.86,184.01,0.57,395.21,0.39,5.5,57.4,3.2,2,"Sw09,Sw02",429000000.0,65.43599999999999,50127976488.69657,8.632457292184725,10.700080173842455,2.06762288165773
UGC08286,6,6.5,0.21,2,90.0,3.0,1.255,0.018,2.25,39.52,1.05,1488.78,0.642,8.07,82.4,2.3,1,"Sw09,Sw02",627500000.0,93.93599999999999,148294871401.63364,8.797613730153076,11.171126131739882,2.3735124015868063
UGC08490,9,4.65,0.53,2,50.0,3.0,1.017,0.012,1.14,124.98,0.67,576.54,0.72,7.8,78.6,3.8,1,"Sw09,Sw02",508499999.99999994,89.60399999999998,128709953902.77867,8.706290957258764,11.109612134766758,2.403321177507994
UGC08550,7,6.7,2.0,1,90.0,3.0,0.289,0.009,1.01,45.38,0.45,1284.78,0.288,5.59,56.9,1.9,1,"Sw09,Sw02",144500000.0,64.866,48829389654.74748,8.159867847092567,10.688681295833748,2.5288134487411806
UGC08699,2,39.3,9.82,1,73.0,9.0,50.302,0.695,1.91,2191.95,3.09,1370.35,3.738,19.05,182.4,6.9,2,"No07,No05",25151000000.0,207.93599999999998,1608492345889.5908,10.400555257218906,12.206418998625727,1.8058637414068208
UGC09037,6,83.6,8.4,1,65.0,5.0,68.614,1.769,5.69,334.83,4.28,841.07,19.078,39.72,152.3,9.6,2,Ha14,34307000000.000004,173.62199999999999,936362918633.4987,10.535382742526886,11.971444206656662,1.436061464129775
UGC09133,2,57.1,11.4,1,53.0,6.0,282.926,2.345,5.92,1284.78,6.97,864.63,33.428,60.35,226.8,4.2,1,"No07,No05",141463000000.0,258.55199999999996,3092243229567.6963,11.150642863909233,12.490273647311142,1.3396307834019083
UGC09992,10,10.7,3.21,1,30.0,10.0,0.336,0.017,1.62,20.18,1.04,73.25,0.318,5.45,33.6,3.3,2,"Sw09,Sw02",168000000.0,38.303999999999995,10054542838.608574,8.225309281725863,10.002362328818066,1.7770530470922026
UGC10310,9,15.2,4.6,1,34.0,6.0,1.741,0.053,3.12,28.37,1.8,158.79,1.196,9.58,71.4,3.9,1,"Sw09,Sw02",870500000.0,81.396,96480408136.88269,8.93976877545335,10.984439131977057,2.0446703565237065
UGC11455,6,78.6,11.8,1,90.0,1.0,374.322,3.792,10.06,571.26,5.93,9568.2,13.335,43.44,269.4,7.4,1,SG06,187161000000.0,307.11599999999993,5182475656956.316,11.27221535695892,12.714537270809435,1.442321913850515
UGC11914,2,16.9,5.1,1,31.0,5.0,150.028,0.553,3.12,2425.66,2.44,3168.33,0.888,9.26,288.1,10.5,1,"No07,No05",75014000000.0,328.434,6338321606064.766,10.875142324129556,12.801974271489774,1.9268319473602187
UGC12506,6,100.6,10.1,1,86.0,4.0,139.571,3.214,12.36,144.82,7.38,5608.28,35.556,59.01,234.0,16.8,2,Ha14,69785500000.0,266.76,3396190703827.7944,10.843765194483272,12.530992068878962,1.6872268743956909
UGC12632,9,9.77,2.93,1,46.0,3.0,1.301,0.03,3.94,13.09,2.42,66.81,1.744,12.6,71.7,2.8,1,"Sw09,Sw02",650500000.0,81.738,97701664722.11696,8.813247300897604,10.989901963651935,2.1766546627543306
UGCA442,9,4.35,0.22,2,64.0,7.0,0.14,0.005,1.71,7.6,1.18,116.1,0.263,4.37,56.4,2.1,1,Co00,70000000.0,64.29599999999999,47553425707.58282,7.845098040014257,10.677181808598561,2.8320837685843046
UGCA444,10,0.98,0.05,2,78.0,4.0,0.012,0.0,0.41,11.94,0.83,22.74,0.067,2.08,37.0,4.8,2,Ke07,6000000.0,42.18,13426093547.64457,6.778151250383644,10.127949668849519,3.349798418465875
