#    Radius    Radius     Vsys      Vrot      Vexp       P.A.     Incl.   Xcenter   Ycenter
#    [pix]     [arcs]    [KM/S]    [KM/S]    [KM/S]     [deg]     [deg]    [pix]     [pix] 
     10.00     15.00       nan       nan       nan       nan       nan       nan       nan
     30.00     45.00    633.70    297.47      0.00    150.36     73.70    507.20    512.30
     50.00     75.00    633.70    309.89      0.00    150.31     73.70    507.20    512.30
     70.00    105.00    633.70    318.96      0.00    150.46     73.70    507.20    512.30
     90.00    135.00    633.70    323.02      0.00    149.89     73.70    507.20    512.30
    110.00    165.00    633.70    323.23      0.00    149.65     73.70    507.20    512.30
    130.00    195.00    633.70    320.16      0.00    149.91     73.70    507.20    512.30
    150.00    225.00    633.70    313.91      0.00    148.85     73.70    507.20    512.30
    170.00    255.00    633.70    308.01      0.00    148.46     73.70    507.20    512.30
    190.00    285.00    633.70    302.90      0.00    147.47     73.70    507.20    512.30
    210.00    315.00    633.70    298.39      0.00    147.75     73.70    507.20    512.30
    230.00    345.00    633.70    294.29      0.00    149.40     73.70    507.20    512.30
    250.00    375.00    633.70    292.52      0.00    151.05     73.70    507.20    512.30
    270.00    405.00    633.70    294.63      0.00    152.72     73.70    507.20    512.30
    290.00    435.00    633.70    291.25      0.00    153.51     73.70    507.20    512.30
    310.00    465.00    633.70    293.93      0.00    154.84     73.70    507.20    512.30
    330.00    495.00    633.70    291.07      0.00    155.58     73.70    507.20    512.30
    350.00    525.00    633.70    287.85      0.00    156.41     73.70    507.20    512.30
    370.00    555.00    633.70    288.82      0.00    158.12     73.70    507.20    512.30
    390.00    585.00    633.70    218.08      0.00    155.58     73.70    507.20    512.30
    410.00    615.00    633.70    234.39      0.00    157.84     73.70    507.20    512.30
    430.00    645.00    633.70    132.14      0.00    145.87     73.70    507.20    512.30
    450.00    675.00       nan       nan       nan       nan       nan       nan       nan
    470.00    705.00       nan       nan       nan       nan       nan       nan       nan
